Wall time,Step,Value
1748850695.5323312,25,-33.48891830444336
1748850724.9096713,35,-76.5180435180664
1748850729.040662,36,-39.673397064208984
1748850740.3686492,39,0.22244130074977875
1748850742.8590105,40,-39.37851333618164
1748850749.0664446,43,-39.72983169555664
1748850768.0091426,47,-100.80672454833984
1748850773.902727,48,-46.31404113769531
1748850802.133465,61,-39.92569351196289
1748850815.0397785,68,-39.965782165527344
1748850815.0748599,69,-37.38551712036133
1748850815.1256065,70,-39.80903625488281
1748850842.073623,75,-130.6593780517578
1748850875.7580168,83,-57.31533432006836
1748850878.1516511,84,-45.21465301513672
1748850885.1811597,87,-37.69918441772461
1748850896.5028014,88,-34.01220703125
1748850898.8358145,91,-37.56489181518555
1748850898.8736935,92,0.27519962191581726
1748850914.6112778,98,-39.75673294067383
1748850933.397485,103,-29.72913360595703
1748850973.1621292,110,-39.90341567993164
1748851004.8405545,120,-44.02597427368164
1748851011.4058843,124,-38.40296173095703
1748851020.7023687,127,-41.82410430908203
1748851023.498711,128,-68.98049926757812
1748851039.5316741,137,-39.56352615356445
1748851068.8666017,142,-39.88719177246094
1748851083.074248,146,-35.93608093261719
1748851085.7148757,147,-40.01051330566406
1748851085.7866232,149,-39.440399169921875
1748851085.8506675,151,-81.1765365600586
1748851110.2370021,157,-40.23292541503906
1748851140.4733188,165,-39.35588455200195
1748851142.2467747,167,-40.21529769897461
1748851142.2674754,168,-62.03996658325195
1748851156.6917567,171,-31.96131706237793
1748851179.066235,178,-43.540096282958984
1748851184.173328,181,-39.03707504272461
1748851185.3412366,183,-29.99840545654297
1748851186.5965626,185,-33.04021072387695
1748851199.341663,192,-82.71678161621094
1748851200.2835183,193,-31.02410888671875
1748851211.2243974,198,-39.36759567260742
1748851214.4185011,205,-33.73395538330078
1748851214.4772694,206,-38.95372009277344
1748851218.4163845,207,-42.581932067871094
1748851228.2859855,211,-45.758148193359375
1748851234.154239,212,-0.013035689480602741
1748851234.9326832,213,-39.6945915222168
1748851245.5674865,220,-40.91178894042969
1748851252.506237,223,-35.32246398925781
1748851252.5310953,224,-58.47352981567383
1748851253.723392,226,-26.909521102905273
1748851256.315206,228,0.28217270970344543
1748851263.0378246,232,-41.89581298828125
1748851271.495849,234,-40.26378631591797
1748851282.0686755,236,-45.1446647644043
1748851296.388382,241,-39.5684814453125
1748851301.5672407,242,-38.48931121826172
1748851305.1498647,245,-85.6008529663086
1748851315.3143198,250,-39.8925666809082
1748851336.2580106,265,-40.169517517089844
1748851338.4730992,266,0.34052035212516785
1748851338.6829147,267,-34.47419357299805
1748851374.801182,279,-40.01102828979492
1748851374.8622866,280,-43.9721794128418
