Wall time,Step,Value
1748902737.235831,5,0.0
1748902737.4442513,15,0.0
1748902737.4674025,16,0.0
1748902737.5067897,19,0.0
1748902737.8194504,20,0.0
1748902762.0658267,27,70.0
1748902765.5010216,28,85.0
1748902794.1021922,41,204.0
1748902811.0118456,48,57.0
1748902811.7613776,49,263.0
1748902817.6072319,50,170.0
1748902820.897846,55,303.0
1748902839.3555717,63,116.0
1748902842.1587152,64,69.0
1748902848.27348,67,1.0
1748902848.315294,68,1.0
1748902853.3854074,71,182.0
1748902861.6874185,72,69.0
1748902871.88802,78,1.0
1748902880.963956,83,49.0
1748902904.5340028,90,272.0
1748902943.3246748,100,700.0
1748902980.523482,104,700.0
1748902992.7296102,108,162.0
1748903049.0238917,122,42.0
1748903051.6283412,126,1.0
1748903051.6451178,127,146.0
1748903057.829643,129,1.0
1748903057.893141,131,311.0
1748903072.4512265,137,124.0
1748903080.6288378,145,87.0
1748903083.6352637,147,150.0
1748903087.6809313,148,94.0
1748903090.1937265,151,91.0
1748903119.2192369,158,1.0
1748903146.1425016,161,222.0
1748903174.2227247,163,700.0
1748903192.7097974,165,96.0
1748903234.6861427,173,1.0
1748903262.468191,178,1.0
1748903288.4340665,185,700.0
1748903298.2770944,186,194.0
1748903310.1685827,192,1.0
1748903310.184299,193,147.0
1748903335.3494637,204,115.0
1748903338.2988985,206,700.0
1748903370.4253826,214,294.0
1748903377.4284947,216,1.0
1748903430.881442,225,649.0
1748903480.353514,230,700.0
1748903571.48617,245,1.0
1748903571.5167215,246,92.0
1748903647.977951,259,123.0
1748903649.759967,260,700.0
1748903705.854484,272,383.0
1748903722.580512,275,152.0
1748903742.2469401,279,91.0
1748903768.3178732,283,505.0
1748903786.5170946,286,199.0
1748903806.0031488,289,700.0
1748903819.1194334,291,466.0
1748903833.2644854,296,1.0
1748903847.8105745,298,700.0
1748903860.8672988,299,173.0
1748903906.9574163,309,232.0
1748903919.7042928,313,254.0
1748903926.5360093,317,700.0
1748903937.9749854,319,416.0
1748903942.4855134,320,182.0
1748903944.835559,323,42.0
1748904001.223157,346,1.0
1748904001.2662618,347,277.0
1748904048.8064454,359,126.0
1748904059.4789984,365,1.0
1748904059.5077672,366,1.0
1748904059.7312367,367,1.0
1748904118.1087554,379,551.0
1748904152.4055684,387,700.0
1748904163.6418548,391,105.0
1748904165.2703223,393,1.0
1748904183.2360106,398,262.0
1748904207.5324903,403,142.0
1748904212.2011487,405,56.0
1748904267.7124674,416,425.0
1748904300.823299,422,700.0
1748904310.6593149,423,338.0
1748904363.069868,437,1.0
1748904363.0878205,438,239.0
1748904367.2566495,440,700.0
1748904388.114845,447,122.0
1748904394.7590868,453,144.0
1748904415.452586,457,1.0
1748904427.4640453,462,700.0
1748904465.809609,466,631.0
1748904485.664385,469,342.0
1748904492.5119956,471,318.0
1748904520.8410168,475,85.0
1748904522.508306,476,265.0
1748904545.5029578,481,339.0
1748904551.9506578,482,2.0
1748904594.4224799,488,218.0
1748904620.3063045,495,633.0
1748904709.7407236,511,700.0
1748904728.0460207,513,445.0
1748904735.824763,514,504.0
1748904745.1747189,515,47.0
1748904756.3435986,518,99.0
1748904762.4839187,520,278.0
1748904853.629398,534,1.0
1748904853.6457732,535,405.0
1748904866.4059637,537,1.0
1748904875.8122714,539,118.0
1748904886.5011451,541,573.0
1748904906.1418967,545,209.0
1748904920.916381,547,500.0
1748904933.4081485,551,1.0
1748904934.1157165,553,357.0
1748904957.3602114,557,469.0
1748905006.6180112,563,153.0
1748905010.2138402,565,288.0
1748905038.2057369,569,700.0
1748905120.5698164,585,183.0
1748905123.9441073,586,684.0
1748905143.1482148,589,500.0
1748905155.457828,591,160.0
1748905164.0715697,595,700.0
1748905178.5928185,597,357.0
1748905306.5232213,614,685.0
1748905316.7512753,615,445.0
1748905375.6629298,623,421.0
1748905381.1483128,624,365.0
1748905401.8313046,629,346.0
1748905405.9220808,630,372.0
1748905413.0976453,634,81.0
1748905419.2703214,638,78.0
1748905448.9143157,644,1.0
1748905448.9416924,645,1.0
1748905471.9675384,650,120.0
1748905476.2310023,652,1.0
1748905499.9884632,659,359.0
1748905511.2900362,661,439.0
1748905539.999512,668,545.0
1748905575.4395552,676,264.0
1748905578.929786,677,336.0
1748905598.7497787,685,700.0
1748905647.5098114,693,184.0
1748905651.470897,695,58.0
1748905721.6730936,711,137.0
1748905766.6265275,722,310.0
1748905777.313533,724,172.0
1748905783.2655258,726,594.0
1748905793.2576602,727,1.0
1748905793.9333382,729,198.0
1748905797.088309,730,78.0
1748905802.998753,732,1.0
1748905803.0280628,733,276.0
1748905807.679918,734,1.0
1748905824.6555731,739,1.0
1748905859.0476012,745,100.0
1748905965.4738832,765,625.0
1748906016.5064557,773,288.0
1748906027.8206685,776,551.0
1748906036.233955,777,116.0
1748906037.8854084,779,700.0
1748906052.1644077,781,146.0
1748906060.8677812,783,492.0
1748906084.7828178,789,700.0
1748906146.9395955,805,271.0
1748906152.017571,806,171.0
1748906156.533029,808,261.0
1748906171.9216177,811,378.0
1748906196.625491,819,313.0
1748906202.5620906,820,696.0
1748906237.8326328,829,1.0
1748906253.2271652,833,254.0
1748906288.275477,841,117.0
1748906300.2482495,844,251.0
1748906313.1408942,846,700.0
1748906365.2699335,858,1.0
1748906383.965724,863,62.0
1748906410.055565,867,684.0
1748906437.5802639,872,401.0
1748906508.058094,885,132.0
1748906510.174609,887,142.0
1748906540.5147376,893,1.0
1748906561.6042163,896,197.0
1748906568.5902243,898,504.0
1748906589.3583283,902,65.0
1748906590.3304045,903,226.0
1748906605.7450187,909,299.0
1748906722.8965464,929,72.0
1748906732.2512267,931,394.0
1748906737.391721,933,700.0
1748906770.9967244,943,382.0
1748906799.91862,950,83.0
1748906810.7000785,956,67.0
1748906825.2503858,964,176.0
1748906855.372578,980,1.0
1748906871.929117,983,90.0
1748906919.208311,993,137.0
1748906927.511691,995,2.0
1748906945.646722,1000,341.0
1748906951.490262,1003,225.0
1748906964.376568,1005,591.0
1748907006.3796475,1016,49.0
1748907028.9639547,1023,107.0
1748907039.6858184,1027,69.0
1748907040.738895,1029,1.0
1748907063.1053207,1037,1.0
1748907063.1249285,1038,1.0
1748907120.299105,1057,151.0
1748907130.8773334,1061,493.0
1748907165.6881552,1071,99.0
1748907167.814503,1072,302.0
1748907180.0422711,1074,234.0
1748907187.6762185,1078,209.0
1748907209.759019,1087,202.0
1748907266.514044,1099,262.0
1748907282.6061983,1103,359.0
1748907288.0888207,1105,181.0
1748907301.7025125,1108,144.0
1748907304.4816256,1110,433.0
1748907311.8374298,1112,43.0
1748907332.9904704,1122,338.0
1748907343.5177288,1123,229.0
1748907365.9498363,1126,144.0
1748907368.2108114,1127,220.0
1748907376.3073337,1130,128.0
1748907394.8901844,1133,279.0
1748907403.9828815,1135,621.0
1748907426.608736,1140,404.0
1748907454.5388844,1147,84.0
1748907461.4580095,1152,91.0
1748907463.766211,1153,13.0
1748907504.740582,1165,563.0
1748907553.8357832,1175,98.0
1748907558.5211504,1177,360.0
1748907563.9597998,1178,168.0
1748907588.5772083,1185,1.0
1748907600.640521,1190,1.0
1748907614.029138,1194,179.0
1748907617.3174965,1195,261.0
1748907670.4056494,1207,314.0
1748907700.1860297,1215,1.0
1748907706.3876889,1219,444.0
1748907724.1884882,1224,332.0
1748907728.4785464,1226,1.0
1748907744.7879593,1230,1.0
1748907814.9408932,1245,443.0
1748907825.560674,1247,174.0
1748907847.1596997,1252,57.0
1748907848.162899,1253,92.0
1748907855.5185723,1255,32.0
1748907874.28145,1258,1.0
1748907881.007675,1262,131.0
1748907914.7344701,1268,201.0
1748907925.4874742,1272,98.0
1748907935.9688137,1277,695.0
1748907964.85641,1283,343.0
1748907978.1917899,1286,37.0
1748907992.5313885,1291,451.0
1748908005.0438747,1294,1.0
1748908016.963075,1299,356.0
1748908029.310913,1303,1.0
1748908048.715678,1307,60.0
1748908079.626819,1316,145.0
1748908102.460625,1323,312.0
1748908114.8860478,1326,195.0
1748908117.7249746,1327,1.0
1748908146.4632177,1336,135.0
1748908175.7739966,1346,1.0
1748908180.7883098,1349,244.0
1748908202.3499265,1355,72.0
1748908219.631075,1361,214.0
1748908237.284663,1365,323.0
1748908293.44619,1376,262.0
1748908297.7692957,1377,244.0
1748908317.1715806,1381,326.0
1748908341.7591367,1387,1.0
1748908353.9852135,1391,324.0
1748908370.1109304,1394,1.0
1748908467.0758219,1418,120.0
1748908532.2725158,1437,221.0
1748908536.0213292,1439,181.0
1748908539.5741704,1440,1.0
1748908539.638736,1441,327.0
1748908572.682004,1450,176.0
1748908612.2737532,1458,462.0
1748908618.2453082,1459,298.0
1748908621.8128872,1461,143.0
1748908623.587256,1462,56.0
1748908662.1615229,1475,246.0
1748908671.1466248,1477,142.0
1748908694.4457085,1488,80.0
1748908703.359683,1491,236.0
1748908719.9165685,1495,210.0
1748908734.3792858,1499,373.0
1748908749.4469326,1503,1.0
1748908772.0212214,1510,431.0
1748908780.2351007,1511,129.0
1748908782.1471784,1512,91.0
1748908783.790421,1514,262.0
1748908795.7736533,1517,215.0
1748908853.957415,1529,264.0
1748908874.5160296,1535,110.0
1748908881.4139535,1538,259.0
1748908885.2911055,1539,1.0
1748908936.350777,1549,231.0
1748908943.62255,1552,1.0
1748908979.2662802,1563,377.0
1748908989.242824,1566,400.0
1748909005.2744472,1569,511.0
1748909021.987051,1574,64.0
1748909030.212222,1577,250.0
1748909048.0243385,1586,395.0
1748909087.7659504,1597,284.0
1748909106.6266375,1602,314.0
1748909120.5019438,1604,298.0
1748909218.768029,1628,214.0
1748909243.2274344,1636,187.0
1748909245.7687721,1638,109.0
1748909256.4611254,1641,238.0
1748909275.4164484,1647,114.0
1748909278.3360372,1648,62.0
1748909304.8066683,1655,189.0
1748909331.3168266,1663,321.0
1748909349.7610102,1667,389.0
1748909377.0172496,1671,1.0
1748909385.2695873,1675,216.0
1748909400.48776,1678,340.0
1748909406.523222,1680,1.0
1748909441.295827,1686,180.0
1748909473.9968724,1695,205.0
1748909494.7631824,1703,275.0
1748909499.4232213,1705,336.0
1748909511.2405832,1708,80.0
1748909513.8266714,1710,95.0
1748909515.542868,1711,108.0
1748909517.3760276,1712,121.0
1748909540.6245,1719,1.0
1748909544.7833157,1723,48.0
1748909545.643044,1724,284.0
1748909569.5277183,1731,173.0
1748909607.877912,1739,114.0
1748909609.898487,1740,59.0
1748909627.4214003,1744,184.0
1748909634.2662358,1746,168.0
1748909669.2055006,1755,120.0
1748909696.0656636,1766,123.0
1748909721.28535,1776,165.0
1748909726.734256,1778,153.0
1748909753.6736436,1785,233.0
1748909759.6498656,1786,1.0
1748909774.4669886,1790,377.0
1748909794.3093734,1793,252.0
1748909810.9953244,1801,367.0
1748909864.4987073,1820,276.0
1748909885.7002451,1824,335.0
1748909909.9372735,1831,152.0
1748909927.9738605,1837,494.0
1748909938.3888152,1839,96.0
1748909973.3348212,1848,191.0
1748909988.4067516,1852,210.0
1748910018.6605437,1861,174.0
1748910027.0592988,1866,350.0
1748910032.0442536,1867,279.0
1748910036.1095326,1868,160.0
1748910084.9091442,1884,117.0
1748910097.8012912,1889,700.0
1748910125.4492345,1896,246.0
1748910134.0266635,1900,287.0
1748910147.9267418,1903,171.0
1748910160.3445768,1909,250.0
1748910164.1721406,1910,1.0
1748910164.214747,1911,165.0
1748910171.53054,1914,134.0
1748910187.3529027,1919,263.0
1748910214.1663702,1925,147.0
1748910217.3323987,1926,259.0
1748910251.625237,1936,278.0
1748910254.9959116,1937,20.0
1748910264.6760688,1941,184.0
1748910268.333562,1942,120.0
1748910284.479242,1946,92.0
1748910287.4336636,1948,441.0
1748910305.499087,1954,1.0
1748910310.6501606,1957,174.0
1748910320.4658573,1961,165.0
1748910322.7735155,1962,1.0
1748910323.0516572,1964,1.0
1748910323.0855505,1965,1.0
1748910326.795894,1967,4.0
1748910355.87636,1978,60.0
1748910360.1606321,1980,231.0
1748910382.097842,1988,58.0
1748910383.0318167,1989,1.0
1748910391.985039,1992,241.0
1748910510.0428421,2027,1.0
1748910533.2817144,2037,143.0
1748910570.3370318,2048,1.0
1748910593.6739855,2055,136.0
1748910595.9483974,2056,97.0
1748910632.3376424,2068,1.0
1748910636.8435686,2071,339.0
1748910670.2530794,2080,100.0
1748910690.2696073,2090,1.0
1748910729.8845167,2098,135.0
1748910741.57759,2101,490.0
1748910752.5942807,2104,1.0
1748910763.74373,2110,298.0
1748910784.8636234,2115,10.0
1748910785.0403109,2116,58.0
1748910803.2172866,2120,280.0
1748910807.1849804,2121,113.0
1748910825.5381563,2128,272.0
1748910845.5322762,2137,281.0
1748910853.3194847,2140,301.0
1748910879.5221035,2150,355.0
1748910910.9036348,2160,10.0
1748910938.098888,2170,292.0
1748910995.6592736,2188,87.0
1748911028.3545122,2195,272.0
1748911051.6711557,2202,121.0
1748911054.8201792,2204,83.0
1748911077.9089482,2210,91.0
1748911080.7104027,2212,363.0
1748911092.4726992,2216,137.0
1748911099.201353,2222,259.0
1748911110.926602,2226,15.0
1748911156.1370714,2237,118.0
1748911161.5021915,2240,246.0
1748911178.677024,2245,68.0
1748911215.785774,2258,167.0
1748911280.8674428,2282,260.0
1748911341.1687324,2301,301.0
1748911353.7551749,2306,175.0
1748911357.0949934,2307,158.0
1748911391.9055305,2317,137.0
1748911400.7341144,2320,212.0
1748911413.019845,2325,150.0
1748911430.0913913,2333,294.0
1748911439.4972997,2336,313.0
1748911463.5178578,2343,132.0
1748911474.242013,2347,311.0
1748911492.9218597,2353,181.0
1748911515.162055,2360,33.0
1748911544.920609,2374,1.0
1748911580.7156997,2385,175.0
1748911594.5525618,2390,134.0
1748911600.6033769,2394,59.0
1748911601.5485148,2395,273.0
1748911611.234616,2398,1.0
1748911611.262506,2399,245.0
1748911705.8259363,2429,212.0
1748911718.1742084,2432,1.0
1748911727.9623454,2436,255.0
1748911731.9201508,2437,285.0
1748911744.4377203,2442,211.0
1748911747.3924258,2443,95.0
1748911769.6818063,2455,1.0
1748911793.3451679,2463,145.0
1748911799.8321748,2465,181.0
1748911802.5129223,2466,56.0
1748911854.0858388,2486,1.0
1748911876.841805,2494,63.0
1748911891.7354717,2499,263.0
1748911904.3593254,2501,258.0
1748911915.953079,2504,1.0
1748911918.7455719,2506,116.0
1748911920.1100245,2507,236.0
1748911939.6767867,2514,281.0
1748911950.8831103,2518,102.0
1748911952.297232,2519,91.0
1748911953.5982952,2520,1.0
1748911956.2417703,2522,224.0
1748911967.6655107,2524,157.0
1748911982.437447,2529,95.0
1748911987.1426396,2531,134.0
1748912016.938763,2539,184.0
1748912135.141133,2566,312.0
1748912138.5366168,2567,85.0
1748912141.0292773,2569,66.0
1748912166.969914,2578,144.0
1748912169.798242,2579,147.0
1748912196.8111782,2586,53.0
1748912202.7832115,2589,220.0
1748912205.6848507,2590,196.0
1748912213.1668687,2593,83.0
1748912224.413035,2600,60.0
1748912245.7696548,2607,125.0
1748912272.0841544,2620,200.0
1748912295.5954494,2628,84.0
1748912296.8530562,2629,273.0
1748912312.1579525,2636,197.0
1748912317.5591393,2639,263.0
1748912322.1572218,2640,96.0
1748912323.8258228,2641,1.0
1748912326.5133348,2644,69.0
1748912391.1198444,2663,262.0
1748912419.7080169,2671,91.0
1748912421.3381977,2672,20.0
1748912428.106162,2675,267.0
1748912457.7580721,2682,203.0
1748912466.87294,2685,384.0
1748912485.3756967,2687,220.0
1748912498.8734884,2690,192.0
1748912514.1693077,2694,391.0
1748912542.2061508,2703,192.0
1748912557.0404937,2709,120.0
1748912566.55182,2713,1.0
1748912566.599059,2714,56.0
1748912588.0671601,2718,70.0
1748912589.2592142,2719,144.0
1748912591.6272032,2720,674.0
1748912611.4954486,2725,147.0
1748912619.9718392,2730,371.0
1748912626.0980184,2731,182.0
1748912634.3641758,2735,317.0
1748912653.0069654,2740,244.0
1748912657.5290987,2741,256.0
1748912663.22136,2742,120.0
1748912673.588278,2745,60.0
1748912710.1014016,2754,213.0
1748912712.2691612,2755,45.0
1748912712.8421462,2756,209.0
1748912724.298688,2761,465.0
1748912743.734308,2766,1.0
1748912751.7812617,2769,257.0
1748912759.1770146,2772,125.0
1748912762.3207145,2774,1.0
1748912762.3871026,2776,155.0
1748912770.4693744,2779,27.0
1748912784.0682554,2786,254.0
1748912812.560764,2798,181.0
1748912821.2096536,2800,1.0
1748912848.0655448,2813,1.0
1748912848.092748,2814,156.0
1748912894.874429,2825,184.0
1748912926.556097,2835,1.0
1748912929.5960755,2837,272.0
1748912938.42405,2839,189.0
1748912968.2482514,2845,184.0
1748912982.7874265,2852,174.0
1748912985.5373323,2853,172.0
1748913001.3118525,2858,89.0
1748913009.4330006,2862,104.0
1748913011.2025595,2863,447.0
1748913023.230553,2867,1.0
1748913059.0109186,2880,132.0
1748913064.1697905,2882,115.0
1748913065.797985,2883,107.0
1748913087.2625918,2892,161.0
1748913090.3644822,2894,168.0
1748913095.2325292,2896,156.0
1748913111.8736486,2904,268.0
1748913144.5126836,2912,341.0
1748913154.0954194,2915,110.0
1748913155.4406064,2916,220.0
1748913165.3379476,2919,337.0
1748913170.9890184,2921,65.0
1748913172.0736597,2922,234.0
1748913186.4484158,2925,187.0
1748913201.4847584,2931,119.0
1748913213.253631,2935,1.0
1748913213.2743661,2936,54.0
1748913254.5252311,2950,318.0
1748913267.365052,2953,167.0
1748913276.1770113,2956,31.0
1748913297.251113,2963,186.0
1748913312.5745437,2966,232.0
1748913318.6601148,2968,170.0
1748913344.4345093,2974,209.0
1748913356.206788,2979,222.0
1748913371.1439576,2985,144.0
1748913378.7636743,2987,69.0
1748913396.290623,2994,202.0
1748913400.9631813,2997,281.0
1748913406.476752,2999,91.0
1748913408.8756216,3000,176.0
1748913413.428289,3003,49.0
1748913444.3046162,3011,243.0
1748913466.895123,3020,251.0
1748913480.246871,3025,1.0
1748913484.6027238,3030,1.0
1748913492.2870939,3035,119.0
1748913539.3350608,3048,329.0
1748913549.9553232,3050,77.0
1748913576.641167,3060,324.0
1748913604.5815172,3067,233.0
1748913618.7044885,3070,89.0
1748913628.2989335,3075,234.0
1748913652.5504384,3084,310.0
1748913656.7538521,3085,89.0
1748913667.4187236,3091,103.0
1748913674.4948134,3097,157.0
1748913679.567994,3100,190.0
1748913687.6241932,3104,127.0
1748913690.807306,3105,198.0
1748913695.2295244,3106,219.0
1748913704.2288957,3108,158.0
1748913712.2320879,3112,56.0
1748913719.6918283,3115,103.0
1748913721.6888833,3116,136.0
1748913731.8590035,3120,190.0
1748913735.750546,3121,152.0
1748913739.0472014,3122,1.0
1748913753.3483994,3127,253.0
1748913760.9752302,3129,194.0
1748913786.5671475,3139,152.0
1748913799.4517095,3146,60.0
1748913823.3524747,3153,1.0
1748913828.6311605,3156,105.0
1748913886.2824588,3174,219.0
1748913905.2454145,3179,1.0
1748913932.765581,3188,173.0
1748913941.1293473,3191,257.0
1748913949.0814006,3193,52.0
1748913969.8992105,3200,208.0
1748913982.2159042,3204,248.0
1748913986.2223642,3205,1.0
1748914010.8716097,3213,330.0
1748914032.0487359,3217,281.0
1748914037.2881382,3218,118.0
1748914044.3549254,3221,59.0
1748914045.2514799,3223,155.0
1748914068.658287,3230,6.0
1748914089.67259,3238,143.0
1748914095.7605176,3242,399.0
1748914106.126172,3244,179.0
1748914123.1614246,3250,76.0
1748914180.3123934,3266,263.0
1748914198.3628647,3269,298.0
1748914207.9526088,3272,504.0
1748914220.1846461,3275,361.0
1748914224.4042935,3276,1.0
1748914239.5699282,3281,138.0
