Step,Value
25,-40.20199966430664
35,-39.959919955343004
36,-39.961670643740824
39,-40.146638428105916
40,-39.90624986329615
47,-39.85242052985734
48,-39.85595682454929
61,-40.107785072859805
68,-39.86812023089832
69,-39.630587115346465
70,-39.63312146374814
75,-39.39448373971757
83,-39.1570467061562
84,-39.16506929255745
87,-39.12061683685459
88,-38.88530120708319
91,-38.89377449505553
92,-38.86438818170336
98,-38.873293947034526
103,-38.64060283559891
110,-38.410182961237254
120,-38.17809145768618
124,-37.94925565089945
128,-37.72243143813578
142,-37.849588708942996
146,-37.622943430880376
147,-37.39797913027925
149,-37.41372132904494
151,-37.42950766256969
157,-37.20543141689094
165,-36.98241126379157
167,-36.75949852604409
168,-36.5393377853593
171,-36.31999620310533
178,-36.10248686949408
181,-35.88627821778273
183,-35.67086007091468
185,-35.457153373032384
192,-35.244631545048115
193,-35.29897405088281
198,-35.32988794736121
205,-35.308460449968784
206,-35.334956656873466
212,-35.36084157025253
213,-35.38894234419528
224,-35.41711733423411
226,-35.303130819803904
234,-35.33558828000226
236,-35.36723470820799
245,-35.59193811453394
250,-35.61954938867876
265,-35.64347433477833
266,-35.66631028900159
279,-35.694606120810064
280,-35.857546737564206
281,-35.88410202629166
292,-35.909807607005
295,-35.937141691966
299,-35.96297279078881
303,-35.92110907757923
306,-36.191679606341296
309,-35.974846115220046
311,-36.09613135401945
316,-35.879912886198596
318,-35.66505171690105
319,-35.69156492375052
329,-35.479189548859786
333,-35.50583865778245
337,-35.29354834210751
339,-35.32195576085614
340,-35.41657022990429
343,-35.447133178825155
358,-35.43415049114137
366,-35.21886023598829
367,-35.261197793261324
379,-35.049606928765236
385,-35.058882338645276
386,-35.08399553631263
387,-35.01151980711331
399,-34.80153160725884
407,-34.60251463701569
411,-34.39471439427129
413,-34.420277382319725
418,-34.21108145013774
423,-34.00615436188482
425,-33.80240794505665
436,-33.790057402720784
442,-34.08328696797243
443,-34.06734620231083
457,-34.047739087835005
458,-34.08289090861805
460,-34.119744973078454
465,-34.087364157353754
467,-34.138411879453095
473,-33.932788957748365
477,-34.04625495288371
482,-33.83897868827499
486,-33.66988556054537
489,-33.61912847328683
491,-33.41771080135195
495,-33.45709483347987
496,-33.45115249641258
501,-33.25084506642614
502,-33.29219203155004
508,-33.09239461687422
515,-32.89177175658159
531,-33.0290144640548
533,-33.07725238746334
534,-32.87711858755602
535,-32.68050662186957
538,-32.72584704405241
540,-32.52966260380269
554,-32.33208432201465
555,-32.37450869382915
557,-32.577721862003095
559,-32.61829610395119
561,-32.80636314464926
565,-33.07322954036633
567,-32.874930322604406
571,-32.91856150086165
573,-32.72065201434401
577,-32.764132682946425
583,-32.573575186014466
585,-32.39983954925995
589,-32.20570994723601
605,-32.01255049552431
606,-32.06085273313954
609,-32.111233100139145
611,-32.238035328918684
615,-32.04487851496794
617,-31.85291421940268
634,-31.666830039492837
635,-31.47518584270553
643,-31.28675465523144
644,-31.323653176372318
649,-31.1363770601356
650,-30.950106205252883
654,-31.005836537259647
658,-30.819968965651505
664,-30.635300069716973
665,-30.45182308931589
670,-30.269690183094774
672,-30.329339864261833
679,-30.37118970703427
681,-30.264042648824415
688,-30.08283892994965
696,-29.902594914331928
697,-29.723485146647317
705,-29.544318793095655
713,-29.367292306160174
715,-29.191381119479466
731,-29.016783248606316
742,-28.84315580804214
744,-28.669410538911727
746,-28.497960708023573
747,-28.57538043736674
749,-28.644097435748396
750,-28.472144752615357
752,-28.540706697637262
753,-28.591680146965597
754,-28.693324066327946
759,-28.52164594890592
765,-28.393425126061302
785,-28.462830703844975
793,-28.533436532121904
796,-28.6027057386738
797,-28.43179714916628
799,-28.259841565967108
801,-28.090704322817345
803,-28.16182643294001
809,-28.163184015144374
825,-28.02321636754307
826,-28.06706687646672
828,-27.89881032496109
831,-28.03012615746933
839,-28.111987888622657
840,-27.94371367499682
849,-27.776317315865754
853,-27.610100777510585
861,-27.652301134759583
864,-27.48682390020473
866,-27.62636155207938
878,-27.45828971159524
883,-27.294076727605997
887,-27.130583814572766
892,-26.968193323344714
905,-26.806348765409382
907,-26.645643913036132
913,-26.77563495586895
916,-26.852477545059518
918,-26.919990731546974
922,-26.75674406002966
923,-26.596430195571397
929,-26.437102529329266
949,-26.278618051069152
951,-26.12128258616122
953,-25.965048093360366
963,-26.048957443166902
970,-25.89314501792049
976,-25.73592694030202
984,-25.581166047132914
1000,-25.46262139933034
1003,-25.31003649678413
1007,-25.158259564304892
1013,-25.00768528676287
1015,-25.10051761589923
1020,-24.950067911615903
1023,-24.800807308908812
1025,-25.032036194608583
1036,-24.88204921517972
1043,-24.973830467251922
1047,-25.09207243012712
1049,-25.143518355226533
1057,-24.990190032656592
1058,-24.83930476704676
1077,-24.927091806791648
1081,-24.777957618722766
1091,-24.965213632470878
1092,-24.815916061491958
1094,-24.667329605423554
1098,-24.519538647132244
1107,-24.37294132266436
1119,-24.227247150356273
1123,-24.082152674086405
1125,-23.938115010540272
1128,-24.32670200346043
1130,-24.18077094628611
1132,-24.32507741863085
1142,-24.179415802526634
1143,-24.03485484030937
1146,-24.129943616235774
1147,-24.11293794898416
1150,-23.968483890944185
1153,-23.982225332874396
1155,-23.838927028678885
1160,-24.02851986268601
1167,-23.88559412105048
1172,-23.98403621733492
1173,-23.87893576818887
1185,-23.736370314829497
1195,-23.83106387882919
1197,-23.68858124328766
1198,-23.543822592179332
1205,-23.640966936594516
1210,-23.499515263193242
1214,-23.357042339300783
1215,-23.21711608462983
1227,-23.07912459985706
1235,-22.94091351445461
1239,-22.803300032886977
1244,-22.666440356715707
1246,-22.854836146643287
1250,-22.959435508059325
1265,-23.03819458867552
1267,-22.90069894294768
1272,-22.763271596324874
1273,-22.626782492530523
1275,-22.637426075376855
1278,-22.50170100318572
1282,-22.36710070231714
1288,-22.255000757805536
1292,-22.36390143257999
1297,-22.474968641965468
1303,-22.580636217503812
1306,-22.692379321280335
1311,-22.55529181221075
1314,-22.41994441015615
1319,-22.349521431012107
1323,-22.21566559417253
1327,-22.082505199181
1336,-22.114313062578198
1343,-21.981947978390217
1346,-21.85037728600715
1347,-21.88177924897568
1356,-21.985369699885634
1366,-21.852223872963634
1369,-21.721519211565557
1375,-21.591155637602114
1381,-21.462390395774744
1385,-21.334057222513017
1396,-21.206283983738135
1397,-21.31835935966969
1401,-21.190615412728828
1407,-21.282686914954603
1411,-21.155654100535607
1414,-21.029469405378446
1438,-20.90359826562251
1457,-20.945603784793423
1459,-20.81989477056023
1460,-20.935898688374856
1461,-20.810676025512084
