Step,Value
25,-45.431678771972656
35,-45.431678771972656
36,-45.156809035003185
39,-45.12098858026827
40,-45.08941468736088
47,-45.054731020586814
48,-45.02411490710733
61,-44.98978396888539
68,-44.97628786150763
69,-44.947877308410845
70,-44.89910567108626
83,-44.871319984813645
84,-44.92659457497557
87,-44.90079221730355
88,-44.87390269227121
91,-44.84422016631533
92,-44.80979207523688
98,-44.77417883670147
103,-44.741343944345324
110,-44.60010304925836
120,-44.571302678155185
124,-44.77180166567512
128,-44.74175915829338
142,-44.609330526408804
146,-44.68247648416832
147,-44.652857386676885
149,-44.53438998753505
151,-44.50735414168943
157,-44.49338583013275
165,-44.34764808747861
167,-44.34655483658802
168,-44.32491625006117
171,-44.245208016904066
178,-44.22303497894668
181,-44.20775713284253
183,-44.183021339862364
185,-44.33148119522163
193,-44.305295423895025
198,-44.44211221092196
205,-44.41191099944842
206,-44.385672100285234
212,-44.35963966100628
213,-44.34957766349434
224,-44.41276986273554
226,-44.504457176359416
234,-44.47441264918261
236,-44.43321743366349
245,-44.40055356149559
250,-44.37216272181607
265,-44.10296820997177
266,-44.07947121217434
279,-44.147227607862725
280,-44.12236859524289
292,-44.272071502201705
295,-44.00402365527887
303,-44.01216741343265
306,-43.98793398567325
309,-43.72229618150906
311,-43.70071972863875
316,-43.683803404651684
318,-43.66085758953383
319,-43.93838254104253
329,-44.08304635895545
333,-44.24715655553317
337,-44.11004928377199
339,-44.08472383456594
340,-44.26755634238863
343,-44.24392318756183
366,-44.216237617796814
367,-44.189584204541205
379,-44.16670509927734
385,-44.140284679777864
386,-44.17602133321042
387,-44.15021767713498
399,-44.170565737832426
407,-44.145926384237946
411,-44.120301054814355
413,-44.0687816258048
418,-44.07143858479265
423,-44.022864041113486
425,-43.9985475966129
436,-43.970435980222675
442,-43.704726940455515
443,-43.81375757386893
457,-43.78594157200482
458,-43.764402604091345
460,-43.74101452983643
467,-43.47573815460485
473,-43.49327831033298
477,-43.67249837374735
482,-43.65037068636131
486,-43.662400995507305
489,-43.54238500933407
491,-43.53831663525219
495,-43.41005476827759
496,-43.39040964810298
501,-43.3879724102461
502,-43.42551032132906
508,-43.34930436633468
531,-43.087752701009364
533,-43.3005793036998
534,-43.28142926263102
535,-43.22396870676959
538,-43.24136420574724
540,-43.2226345721485
554,-43.21685619116825
555,-43.338668648076414
557,-43.31843366377585
559,-43.27906094173704
561,-43.01907618196342
565,-42.96755658113385
567,-42.95063850208406
571,-42.69557058533766
573,-42.67534114681099
577,-42.41944829699238
583,-42.39871046158054
585,-42.14444981733316
589,-42.13262915419576
605,-42.038732190610915
606,-42.02802865946676
609,-41.995323973227734
611,-42.01699896389765
615,-41.762357547244584
617,-41.74973980760077
634,-41.49719135479576
635,-41.42440121508984
643,-41.349654238646465
644,-41.31657898777513
649,-41.310268686211764
650,-41.33360737621852
654,-41.325175296780536
658,-41.31698744385239
664,-41.12191270577375
665,-41.07699089903374
670,-40.843288480845956
672,-40.948161359518984
679,-40.70203695506839
681,-40.45732072176657
688,-40.21662152404616
696,-40.13995307770828
697,-40.136810167103356
705,-40.355689547189606
713,-40.358597516534886
715,-40.37118821048841
731,-40.369111456591696
742,-40.12891288241754
744,-40.21248394095067
746,-40.15952464628324
747,-40.158975480278094
749,-40.15390349385151
750,-40.233587929638894
752,-40.34737029335744
753,-40.34855013257142
754,-40.10522604702791
759,-40.16308379597036
765,-40.165089248577836
785,-40.174597385571715
793,-39.934299178583466
796,-39.93893005495972
797,-39.93896990602644
799,-39.941251118023395
801,-39.758790212954054
803,-39.52300193635271
809,-39.502513788931374
825,-39.263241737997575
826,-39.28041418728883
828,-39.28712784321734
831,-39.27228930009602
839,-39.17581849001566
840,-38.939602905248634
849,-39.097465242040776
853,-39.02043353973038
861,-38.94285144294756
864,-39.14439684893831
878,-39.16375652680463
883,-38.927570333920805
887,-38.83786394359453
892,-38.84650423277231
905,-38.9801610853664
907,-38.747888864548365
913,-38.99516225828978
916,-38.76143737565137
918,-38.75914331041846
922,-38.768949069147254
923,-38.749925798316355
929,-38.74274862359238
951,-38.73798213429223
953,-38.738181614228175
