Step,Value
25,-40.67093276977539
35,-40.92570757293701
36,-40.910886703048696
39,-40.66585513876464
40,-40.6411319882177
47,-40.63497825048761
48,-40.565896751651195
61,-40.647208364244314
68,-40.644454325484624
69,-40.6383041370073
70,-40.63527787053487
75,-40.593324922183726
83,-40.58249733349047
84,-40.56369317590554
87,-40.53333044891798
88,-40.289044990183626
91,-40.27891354922201
92,-40.2891536879218
98,-40.28493947197102
103,-40.492401328669466
110,-40.24629086047864
120,-40.27410971565756
124,-40.272476295461765
128,-40.273728232732935
142,-40.426196626886345
146,-40.40573901072366
147,-40.40121760919105
149,-40.43300930103346
151,-40.35425463664572
157,-40.35412951318376
165,-40.28820671669547
167,-40.24848847035282
168,-40.17577505112738
171,-40.17416394330108
178,-40.172216753220376
181,-40.16864332208582
183,-40.168525337275376
185,-40.11023895484401
192,-39.86829371476114
193,-39.86947639326847
198,-39.63229531831893
205,-39.53977348854769
206,-39.4737510837309
207,-39.50582026698682
212,-39.48450249321205
213,-39.39231765766562
224,-39.39268888752285
226,-39.39521970182955
232,-39.649157541943765
234,-39.85674794825461
236,-40.144890007562154
245,-39.90087556573112
250,-39.881857908467104
265,-39.91119131851142
266,-39.895088375007084
279,-39.824783060821495
280,-39.82977399105764
281,-39.79804501141793
292,-39.84484418946954
295,-39.7373870437358
299,-39.83261528647582
303,-39.941901668731575
306,-39.94185488823578
309,-40.07084436864758
311,-40.055821310492334
316,-40.05522893634032
318,-40.0531561839381
319,-40.05505726331396
329,-40.05689612444599
333,-39.97734096443516
337,-39.977847890328235
339,-39.93664543006146
340,-40.211522582017224
343,-40.21073309130051
358,-40.20956562421023
366,-40.38894937426379
367,-40.30003925818789
379,-40.19428268947836
385,-40.20095104638104
386,-39.96117839556321
387,-39.965190782282114
399,-39.725305275754195
407,-39.729224615669494
411,-39.49132247665623
413,-39.49426499894962
418,-39.53060407356774
423,-39.53239306722936
425,-39.532859147363574
436,-39.51993071501357
442,-39.52307365818931
443,-39.61130802660394
457,-39.61464391684764
458,-39.37823616379515
460,-39.38309247923426
464,-39.38826465037204
465,-39.36545597464021
467,-39.87160338771815
473,-39.83807660247486
477,-39.59935558360286
482,-39.602664563321454
486,-39.36372536158939
489,-39.36981438698333
491,-39.3256717183128
495,-39.331176832595204
496,-39.3282947291802
501,-39.33687222490424
502,-39.341813508339484
508,-39.36155130831972
510,-39.36493039371931
515,-39.12805280373404
531,-39.14668048300539
532,-39.15028728517816
533,-38.914173241705576
534,-38.919547821395966
535,-38.91988524027814
538,-38.92628433246196
539,-39.01695438678213
540,-38.96429009561158
554,-39.04013222369025
555,-38.94056891295309
557,-39.051477165735136
559,-39.08310887738672
561,-39.08182770001352
565,-38.84774986736014
567,-38.82347734825852
571,-38.77172913019558
573,-38.837953545148295
577,-38.60425927035029
583,-38.59514972882731
585,-38.60305459949731
589,-38.51348205589691
594,-38.51245684288281
605,-38.42333905678157
606,-38.51634373069283
609,-38.28580027952963
611,-38.65817906000578
612,-38.73144565337035
615,-38.73131745460882
617,-38.729728706070134
629,-38.73798234524729
634,-38.73217003650295
635,-38.74322981321996
643,-38.75268921943586
644,-38.76368385682432
649,-38.531632612021255
650,-38.300488103866954
654,-38.656513727489845
658,-38.42240291860008
664,-38.418095879933695
665,-38.18781915967402
670,-38.12808552855997
672,-37.89989514144659
679,-37.91305506625221
681,-37.91557823884542
688,-37.68821880993567
696,-37.702683216558476
697,-37.68891590113364
701,-37.702123111598425
705,-37.97335762329505
713,-37.98515399031163
715,-38.05861248928236
731,-37.97886161390721
742,-37.74935090662516
744,-37.73671468735484
746,-37.50834562578701
747,-37.52443229367047
749,-37.29739720839711
750,-37.40882718824487
752,-37.335968776201824
753,-37.286747584058524
754,-37.42104969682077
759,-37.19688532302736
765,-37.215513825542324
785,-36.990712535208296
786,-36.90672233485667
793,-36.80673646480627
796,-36.76080291018369
797,-36.84184502631634
799,-36.78878024613647
801,-36.82443451992088
803,-36.6018210931693
809,-36.618296104110286
825,-36.58679720013577
826,-36.60758426300429
828,-36.625547194010736
831,-36.404753633872225
839,-36.44431652900015
840,-36.486969256229955
849,-36.26805934333036
853,-36.28968926852038
856,-36.32665901102205
857,-36.42980425104772
861,-36.21173572058979
864,-36.40548009203286
866,-36.41813331682734
872,-36.50766664644297
878,-36.289627818016356
881,-36.31817530654038
883,-36.32917372540427
887,-36.34258867481209
892,-36.122519702511866
905,-35.906307448802444
907,-35.9297637615193
913,-35.71326483024632
916,-35.74578600725605
918,-35.53174817621179
922,-35.67838190590452
923,-35.67594100137095
929,-35.70293230665667
949,-35.487776549417035
951,-35.602649557478934
953,-35.52860365219949
963,-35.47474292048405
970,-35.2623632778259
976,-35.37659685267555
984,-35.757985754835865
1000,-35.75218915256271
1003,-35.81678359211022
1007,-35.601246168335585
1013,-35.66241840781727
1015,-35.68700963223365
1020,-35.71285033536554
1023,-35.741554281937326
1024,-35.768200705147066
1025,-35.918284745850265
1036,-36.793974591818525
1043,-36.9436669591724
1047,-36.72261725307476
1049,-36.50091021762615
1057,-36.50860809494344
1058,-36.52980746108325
1067,-36.55049977873131
1077,-36.760196276518876
1081,-36.54012591861198
1091,-36.328081167252606
1092,-36.3518395021485
1094,-36.39959355455211
1098,-36.18056561845046
1107,-35.963675864718525
1119,-35.994891276571224
1123,-35.77933694724678
1125,-35.8053517824969
1128,-36.01234903276383
1130,-36.1165443935233
1132,-35.90016088002604
1142,-35.914764255871376
1143,-35.82740839128341
1146,-35.73662609273015
1147,-35.75927605358099
1150,-35.78454997184446
1153,-35.570322681390394
1155,-35.635868610292285
1160,-35.661785172006994
1167,-35.448588670861746
1172,-35.23643849417825
1173,-35.187613216484664
1183,-34.980046116869055
1185,-35.00296077730163
1195,-35.0294724773595
1197,-35.27334556925315
1198,-35.30859133720727
1205,-35.34302840917915
1210,-35.13183509654673
1214,-34.91870323007098
1215,-35.20850996515833
1227,-34.99637876986098
1235,-34.783724871440725
1239,-34.8250700685988
1244,-35.03173289891963
1246,-35.22587796600365
1250,-35.251371041103134
1265,-35.576778586340886
1267,-35.603172643521575
1271,-35.3901450292944
1272,-35.178216867714035
1273,-34.96745862432121
1275,-34.9789419356246
1278,-35.00971105287071
1282,-35.059024566949
1288,-34.84686485013698
1292,-34.6373190680131
1297,-34.669979948221716
1303,-34.46200708477304
1306,-34.45541814010376
1311,-34.24869311144605
1314,-34.193543073901644
1319,-34.22547746517747
1320,-34.2588275956867
1323,-34.32934807829373
1327,-34.34629131660619
1336,-34.54114858152394
1343,-34.334405691369106
1346,-34.128542416874886
1347,-34.02954416499814
1356,-34.529496050398784
1366,-34.32282698528678
1369,-34.361276452208074
1375,-34.15355087780726
1381,-34.092363531738414
1385,-34.04500090938588
1396,-34.080864982909056
1397,-33.87429176285213
1401,-34.170888053290646
1407,-33.96522808838996
1411,-34.12000671192506
1414,-34.13135959340644
1438,-34.179648301995904
1452,-33.99736933186166
1457,-33.7933864742632
1459,-33.59062723061629
1460,-33.84281341718377
1461,-33.88445120068213
1462,-33.92277227820704
1470,-33.967200320441115
1478,-34.00517459196818
1479,-33.79868034581417
1481,-33.81508668140286
1482,-33.848017854734856
1494,-34.027153304125
1495,-33.823519768183125
1497,-33.867221372657525
1508,-33.95127195830098
1511,-33.74792268243841
1515,-33.783815326702666
1519,-33.82006550633669
1523,-33.84421070320345
1530,-33.88091980727037
1531,-33.67813885418724
1532,-33.717511518864846
1534,-33.51578309536438
1537,-33.81343546710469
1549,-33.932719107536926
1555,-33.9679108864586
1558,-33.76447592491967
1559,-33.81026511459721
1569,-33.84395486973482
1572,-33.941536747511044
1573,-33.99999838212852
1583,-34.09419297191387
1586,-34.130314184932
1589,-33.922003315633376
1594,-33.716250628913805
1597,-33.75349316420282
1606,-33.78960101991487
1617,-33.82743204782858
1622,-33.864951197301856
1624,-33.97185870386316
1648,-34.401925180424165
1656,-34.195286179917055
1658,-34.389031744942045
1661,-34.47469415176243
1667,-34.508846498021285
1668,-34.29988010153161
1675,-34.28190807617145
1683,-34.316517286894104
1687,-34.35351818469862
1691,-34.46603377908164
1695,-34.497068554800705
1698,-34.542836898781964
1700,-34.57752782203038
1706,-34.61071002448297
1708,-34.65188186205336
1715,-34.68420581563201
1723,-34.72328321318451
1725,-34.515438071405285
1728,-34.548032813277146
1730,-34.58315405548439
