Step,Value
25,-40.24948120117188
35,-40.24777072143555
36,-40.43785975018311
39,-40.43486491590076
40,-40.35968024880526
47,-40.38345097743206
48,-40.72888563838876
61,-40.724885997043785
68,-40.70818363082959
69,-40.70356525109051
70,-40.65526199618065
83,-40.724240755929635
84,-40.72499019817384
87,-40.47827127008018
88,-40.4636653143347
91,-40.61328150054928
92,-40.64253497804989
98,-40.642886227226995
103,-40.877023767651714
110,-40.94075578855899
120,-40.69343346610648
124,-40.69730609132302
128,-41.069585450575865
142,-41.06206214105845
146,-41.05641042556073
147,-41.111791277582554
149,-41.10412008741218
151,-40.85663778545107
157,-40.849431361753496
165,-40.82827516512351
167,-40.82733850363472
168,-40.82151829432922
171,-40.81996251372585
178,-40.57199470743259
181,-40.57091504936866
183,-40.56725559605975
185,-40.32200748141584
193,-40.51789956372461
198,-40.434083418478494
205,-40.43110877026255
206,-40.35594159319639
212,-40.3567084399751
213,-40.26196513910332
224,-40.515852576784326
226,-40.531906127705454
234,-40.50057318855885
236,-40.25760053637299
245,-40.264832711780244
250,-40.265782678827435
265,-40.26715756435847
266,-40.259785240310215
279,-40.26416981194941
280,-40.59009671019197
292,-40.58642296647867
295,-40.610442575652456
303,-40.73677164230547
306,-40.71117660449265
309,-40.711181944768036
311,-40.71174815082892
316,-40.709461747006955
318,-40.68481190248927
319,-40.58857298804455
329,-40.473524643378
333,-40.470776146884916
337,-40.43118711622431
339,-40.36464773064855
340,-40.12086549523798
343,-40.12076563033052
366,-40.1204734172248
367,-40.028369503723404
379,-40.02749330067812
385,-40.25920527874026
386,-40.20269779563349
387,-40.20021300839583
399,-40.200213817747795
407,-40.55113776372314
411,-40.48304770731292
413,-40.690700156542675
418,-40.56980251856118
423,-40.65139151594981
425,-40.71195817295763
436,-40.46944435264894
442,-40.44223732856186
443,-40.44204214128482
457,-40.43734096112998
458,-40.41125790047062
460,-40.410594720133226
467,-40.38081177009856
473,-40.3057870389433
477,-40.22785536617863
482,-39.98882533639474
486,-39.989504780616606
489,-39.990795748759076
491,-39.99121480483293
495,-40.20090785108694
496,-40.981156536060496
501,-40.90233595350307
502,-40.904841386634594
508,-40.898293678341645
531,-40.89289249506798
533,-40.888068640768964
534,-40.640571684035855
535,-40.86596458205664
538,-40.860674815682465
540,-40.911579561038856
554,-40.664404993388274
555,-40.66148016315939
557,-40.66793581983913
559,-40.678159871485036
561,-40.67322264901149
565,-40.670586908088126
567,-40.6674201142397
571,-40.664497701098206
573,-40.66026974809475
577,-40.41709775289648
583,-40.42404004400361
585,-40.51442691030697
589,-40.508711549406655
605,-40.499788392353864
606,-40.476370197888414
609,-40.4520263123334
611,-40.45026994211809
615,-40.424670388505426
617,-40.422040609582595
634,-40.178143892135175
635,-39.93544496810961
643,-39.93855276491472
644,-40.125224213217805
649,-40.11050205800198
650,-39.869831200292474
654,-39.628745006874865
658,-39.70761650350842
664,-39.709364029585025
665,-39.471068214598645
670,-39.471362059827655
672,-39.23276749458205
679,-38.997337162657864
681,-39.085464566989046
688,-38.84812546960815
696,-38.86459074816257
697,-38.851899129576914
705,-38.858869079403945
713,-38.87006523779129
715,-39.089596509572544
731,-38.852100701271354
742,-38.8580101765315
744,-38.86408954772329
746,-38.87101697943109
747,-38.87942649004229
749,-38.645154767452716
750,-38.652217684368026
752,-39.528153896084085
753,-39.535302370778865
754,-39.298500608779186
759,-39.30461966982378
765,-39.06740858462401
785,-39.23111565960553
793,-39.23430200184174
796,-39.24065878596106
797,-39.246463223443044
799,-39.25305538984213
801,-39.21911663208804
803,-39.22372035880919
809,-39.23112594620223
825,-39.14547361893079
826,-38.910731725354694
828,-38.913898194377566
831,-39.030625735081905
839,-39.04248311073733
840,-39.04747931070572
849,-39.03939439364275
853,-39.04368984185609
861,-39.07326988877907
864,-39.07790380155089
866,-38.842574132138814
878,-38.607786965229515
883,-38.542182880309475
887,-38.55049786011502
892,-38.55550570974633
905,-38.564843505260804
907,-38.484770686447256
913,-38.25327315235984
916,-38.02387188286108
918,-38.038150518934515
922,-38.3669655763922
923,-38.354527752355224
929,-38.44916335744754
951,-38.462418534468384
953,-38.46538103803208
963,-38.583124175082695
970,-38.35190472128201
984,-38.43149950785911
1000,-38.20088290603924
1003,-37.97104695778465
1013,-38.16226701698032
1015,-37.93128963111599
1020,-37.703630902347754
1023,-37.71806106395515
1025,-37.49114600737323
1036,-37.54684236558192
1043,-37.32194250890057
1047,-37.09596653672089
1049,-37.112975545850176
1057,-36.91219391945801
1058,-36.687925287432066
1077,-36.7100192399189
1081,-36.72966988345155
1091,-36.507568084949334
1092,-36.445801313372016
1094,-36.4654829279161
1098,-36.24695381105423
1107,-36.236854824393966
1119,-36.019435255140095
1123,-36.04198620800134
1125,-36.06933098569962
1128,-35.85301930290327
1130,-35.63715355543171
1132,-35.42291699517953
1142,-35.46873947856001
1143,-35.25528164851078
1146,-35.22841801510775
1147,-35.22774305602834
1150,-35.25778504495779
1153,-35.18130828097711
1155,-34.97029200554149
1160,-35.10404827932611
1167,-35.11353921639576
1172,-34.90327541315226
1173,-34.923264322379886
1185,-35.00469706463164
1195,-35.03348863016866
1197,-35.05681345522359
1198,-35.16075157382086
1205,-34.95004527563301
1210,-34.98304924287081
1214,-34.772748888082056
1215,-34.75013886493789
1227,-34.540616277304615
1235,-34.584906599111
1239,-34.37777923424494
1244,-34.41264431085363
1246,-34.475971057293194
1250,-34.484386654289274
1265,-34.519799662671645
1267,-34.31270249308754
1272,-34.10727001188079
1273,-34.14111794606976
1275,-34.18339996916727
1278,-33.97707545439779
1282,-33.773941801893685
1288,-33.81033151442461
1292,-33.607820750103244
1297,-33.64657830558309
1303,-33.44494230544981
1306,-33.2437588204338
1311,-33.11128580951864
1314,-33.15413301775723
1319,-32.954382116529644
1323,-32.75525602928171
1327,-32.756664022524966
1336,-32.56048118907113
1343,-32.36531181071074
1346,-32.170352773351155
1347,-32.140208452884146
1356,-32.109049250964446
1366,-31.916630905988235
1375,-31.967711534370665
1381,-32.04358934719569
1385,-32.19687621199142
1396,-32.244938629951406
1397,-32.28927498266877
1401,-32.09509168500748
1407,-31.90168214814302
1411,-31.710561286882342
1414,-31.700085173494546
1438,-31.50813593799298
1457,-31.542820696278593
1459,-31.595268323797697
1460,-31.745358960559013
1461,-31.555220599973858
1470,-31.607159387457997
1478,-31.416885997931463
1479,-31.468685890439968
1481,-31.724446895214516
1482,-31.773724916296842
1495,-31.748492562831775
1497,-31.79842497018672
1508,-31.60797967860153
1511,-31.657688757011854
1515,-31.467757628703705
1519,-31.277892941014493
1523,-31.090391270024195
1530,-30.906871145399805
1531,-30.927174455880923
1534,-30.741854712571246
1537,-30.798394551092695
1549,-30.61405073506437
1555,-30.887630087270193
1558,-30.90919533610448
1559,-30.722946042196593
1569,-30.538525550180804
1572,-30.35551314175372
1583,-30.4667226913822
1586,-30.84948149830031
1589,-30.90504289635885
1594,-30.71758092001135
1597,-30.79714746665681
1606,-30.61279131107404
1617,-30.42936601817933
1622,-30.48794581267084
1624,-30.547471110206924
1648,-30.362424228863905
1656,-30.41799247371289
1658,-30.475899161204595
1661,-30.293467053688634
1667,-30.35584683821953
1668,-30.411718265063747
1675,-30.229729447083773
1683,-30.04897748994549
1687,-29.867752072625493
1691,-29.924824422189253
1695,-29.743522930299367
1698,-29.68800065837919
1700,-29.75171609162374
1706,-29.81233185555984
1715,-29.87356701817404
1723,-29.692248776260346
1725,-29.514429450859737
1728,-29.337810797900094
1730,-30.583261624763086
1731,-30.399728303236202
1732,-30.217294033046567
1739,-30.034997475645888
1743,-29.859830662078597
1744,-29.92175568536931
1751,-30.113619095043713
1759,-29.93329411221607
1760,-29.956209934395805
1764,-30.00897441429138
1766,-29.829094164396388
1775,-29.65055340067358
1786,-29.47092594183084
1796,-29.52240015272038
1798,-29.581143338168804
1805,-29.62399177477065
1806,-29.444373093594628
1810,-29.2855150220138
1813,-29.108673645371013
1821,-28.93244340977463
1840,-29.0014091359737
1844,-28.825951166679413
1851,-28.89170841133949
1857,-28.963863066572138
1859,-29.005580445118508
1868,-29.071160449691448
1872,-29.1352774323058
1881,-29.204489556164113
1886,-29.256845733451154
1887,-29.240157007378084
1888,-29.060996264503927
1904,-29.201640014394933
1909,-29.02675759359702
1916,-28.85324053067582
1920,-28.67749383175398
1923,-28.687149407856474
1929,-28.515005711875872
1930,-28.344447143865168
1934,-28.17483099987565
1939,-28.00617173272188
1945,-27.83873728078672
1946,-27.714661294212902
1956,-27.83906472506823
1957,-27.66864947090552
1961,-27.502705912915697
1962,-27.70335267182297
