Wall time,Step,Value
1745142540.0506299,5,0.0
1745142540.2578108,15,0.0
1745142540.2863693,16,0.0
1745142540.3023477,19,0.0
1745142540.3612578,20,0.0
1745142555.0549529,27,55.0
1745142557.0733473,28,63.0
1745142577.2708428,41,80.0
1745142590.102853,48,28.0
1745142590.463761,49,42.0
1745142591.0538118,50,1.0
1745142595.9138231,55,43.0
1745142605.6398973,63,272.0
1745142610.0939434,64,196.0
1745142613.781896,67,1.0
1745142613.8093677,68,1.0
1745142618.4601018,71,1.0
1745142618.4875202,72,86.0
1745142624.3163714,78,231.0
1745142634.51948,83,1.0
1745142638.8268201,90,72.0
1745142673.6444623,100,383.0
1745142686.503344,104,170.0
1745142692.972874,108,1.0
1745142713.561263,122,50.0
1745142719.183813,126,97.0
1745142720.8583808,127,69.0
1745142724.629721,129,81.0
1745142733.5811038,131,82.0
1745142742.6470442,137,92.0
1745142752.0875077,145,1.0
1745142755.2403145,147,1.0
1745142755.2954063,148,235.0
1745142764.152836,151,1.0
1745142778.3583844,158,127.0
1745142784.78637,161,87.0
1745142788.8067229,163,116.0
1745142792.6933403,165,1.0
1745142802.1723511,172,117.0
1745142803.8562477,173,406.0
1745142811.2859783,178,1.0
1745142822.3636343,185,1.0
1745142822.3936694,186,1.0
1745142822.4400115,187,1.0
1745142826.6620157,192,1.0
1745142826.7020032,193,1.0
1745142865.4567664,204,78.0
1745142870.213966,206,110.0
1745142882.2864385,212,352.0
1745142886.8342907,214,209.0
1745142889.7372587,216,1.0
1745142906.5713975,225,64.0
1745142916.719421,230,1.0
1745142961.0546877,245,1.0
1745142961.0672603,246,1.0
1745142992.5528646,259,78.0
1745142993.79699,260,109.0
1745142995.6776843,261,251.0
1745143013.0118551,272,1.0
1745143036.7226806,275,87.0
1745143048.2351093,279,319.0
1745143066.1797836,283,252.0
1745143076.7984624,286,1.0
1745143086.3681643,289,125.0
1745143088.048304,291,402.0
1745143104.7680426,296,216.0
1745143114.517064,298,1.0
1745143114.5252833,299,166.0
1745143129.4431329,309,227.0
1745143136.5153518,313,72.0
1745143147.3738706,317,46.0
1745143148.0144734,319,56.0
1745143148.8953803,320,1.0
1745143150.1322682,323,39.0
1745143193.9064872,338,112.0
1745143209.3902647,346,113.0
1745143210.8763795,347,57.0
1745143236.98317,359,94.0
1745143245.9289823,365,305.0
1745143251.060422,366,108.0
1745143252.7182724,367,1.0
1745143272.6209693,379,153.0
1745143284.728758,387,318.0
1745143292.6156478,391,44.0
1745143295.9292138,393,384.0
1745143310.0075865,398,127.0
1745143316.487043,403,104.0
1745143322.6666946,405,89.0
1745143348.2221882,416,456.0
1745143370.17389,422,91.0
1745143371.6441863,423,333.0
1745143403.9047396,437,77.0
1745143404.933604,438,1.0
1745143405.8687027,440,432.0
1745143416.4857385,444,439.0
1745143422.7297456,445,110.0
1745143424.227927,447,230.0
1745143444.0829675,453,89.0
1745143447.7269514,457,207.0
1745143465.2803478,462,200.0
1745143468.5092678,466,288.0
1745143480.0451605,469,114.0
1745143485.5621142,471,1.0
1745143490.6169999,475,14.0
1745143490.8480067,476,1.0
1745143498.6314604,481,1.0
1745143498.7050982,482,1.0
1745143521.2460837,488,129.0
1745143524.310191,490,102.0
1745143536.6846201,495,34.0
1745143568.467837,511,261.0
1745143573.9416287,512,433.0
1745143580.5203235,513,84.0
1745143581.8091989,514,87.0
1745143583.065899,515,183.0
1745143589.105559,518,1.0
1745143589.1170719,519,202.0
1745143592.0144994,520,144.0
1745143613.4967635,534,1.0
1745143613.5505984,535,76.0
1745143615.6033173,537,1.0
1745143615.7385411,539,285.0
1745143625.4329531,541,1.0
1745143633.1819212,545,700.0
1745143649.4054773,547,71.0
1745143657.6574798,551,1.0
1745143658.694383,553,231.0
1745143674.757231,557,175.0
1745143690.8883991,563,256.0
1745143695.235002,565,235.0
1745143704.2097702,569,1.0
1745143742.15628,585,48.0
1745143742.929773,586,177.0
1745143749.0341775,589,316.0
1745143753.4039786,591,270.0
1745143757.2307622,592,1.0
1745143761.3883667,595,1.0
1745143761.4464781,597,46.0
1745143799.4081137,609,307.0
1745143809.7346246,614,170.0
1745143811.6265972,615,1.0
1745143821.0014696,623,1.0
1745143821.0158226,624,233.0
1745143828.5535676,629,1.0
