Wall time,Step,Value
1747480387.7432837,25,-45.431678771972656
1747480431.087884,35,-45.431678771972656
1747480432.9155376,36,0.3799440562725067
1747480439.3451996,39,-39.18673324584961
1747480444.1879904,40,-39.858673095703125
1747480451.3699837,47,-39.30880355834961
1747480456.1777618,48,-39.95204544067383
1747480488.598642,61,-39.30229187011719
1747480499.4646256,68,-42.74043273925781
1747480500.2071166,69,-40.24119567871094
1747480500.2328362,70,-36.819271087646484
1747480531.1457841,83,-40.268157958984375
1747480532.9794095,84,-54.0837516784668
1747480539.6726024,87,-40.62620162963867
1747480541.1092865,88,-40.41920471191406
1747480545.5647752,91,-39.926815032958984
1747480547.8056097,92,-39.106204986572266
1747480554.8511195,98,-38.87425231933594
1747480559.2592697,103,-39.30169677734375
1747480563.9068499,110,-21.201194763183594
1747480573.0927548,120,-39.80004119873047
1747480581.7290103,124,-77.98780059814453
1747480582.5289173,128,-39.76471710205078
1747480594.3881228,142,-22.670320510864258
1747480600.875967,146,-56.800323486328125
1747480602.5308359,147,-39.7459602355957
1747480602.5310395,149,-24.90829086303711
1747480610.4928062,151,-40.02841567993164
1747480615.3838394,157,-42.17930221557617
1747480624.1805549,165,-20.20376205444336
1747480626.035815,167,-44.16543960571289
1747480626.952561,168,-40.7401237487793
1747480627.9122477,171,-31.040210723876953
1747480635.0988758,178,-40.54970169067383
1747480635.193238,181,-41.676727294921875
1747480636.8096092,183,-40.08512496948242
1747480637.2436032,185,-68.92633056640625
1747480642.7879121,193,-39.967185974121094
1747480647.3226655,198,-67.10809326171875
1747480649.89134,205,-39.40857696533203
1747480651.5409544,206,-40.038761138916016
1747480658.2471786,212,-40.046932220458984
1747480660.7891197,213,-42.682640075683594
1747480673.376625,224,-54.88161087036133
1747480676.4395278,226,-59.69398880004883
1747480686.8365111,234,-39.49703598022461
1747480686.8955019,236,-37.608543395996094
1747480695.3676255,245,-38.98923873901367
1747480698.0825796,250,-39.66874694824219
1747480716.7722657,265,0.49358925223350525
1747480717.1269448,266,-40.18680191040039
1747480727.6946766,279,-55.3722038269043
1747480728.8017945,280,-40.004058837890625
1747480747.1315076,292,-69.0728530883789
1747480751.6334693,295,0.40256965160369873
1747480756.7363772,303,-45.3613166809082
1747480760.9258606,306,-39.973262786865234
1747480762.9952648,309,0.28503337502479553
1747480765.5406675,311,-40.126220703125
1747480772.8599803,316,-40.88133239746094
1747480776.177784,318,-39.859500885009766
1747480776.23791,319,-89.9150161743164
1747480791.6175592,329,-68.04901885986328
1747480796.9033718,333,-71.43474578857422
1747480802.309688,337,-21.395944595336914
1747480802.3564076,339,-39.88914108276367
1747480802.389004,340,-74.55680847167969
1747480810.4935467,343,-40.328697204589844
1747480837.683156,366,-39.629661560058594
1747480840.1370533,367,-39.77400207519531
1747480847.756708,379,-40.376399993896484
1747480855.8913188,385,-39.763301849365234
1747480858.615031,386,-50.09639358520508
1747480859.3127968,387,-39.87541198730469
1747480877.0171118,399,-47.541561126708984
1747480889.9008126,407,-40.06400680541992
1747480893.9098341,411,-39.875038146972656
1747480896.2901409,413,-35.533729553222656
1747480908.9043605,418,-44.5116081237793
1747480919.1258826,423,-35.97568130493164
1747480921.6082466,425,-39.970123291015625
1747480938.351948,436,-39.31327819824219
1747480958.2985837,442,0.3144039809703827
1747480962.504817,443,-61.87649917602539
1747480994.094197,457,-39.177757263183594
1747480994.1208549,458,-40.19611358642578
1747480995.527355,460,-39.866390228271484
1747481004.2370603,467,0.47171467542648315
1747481012.5012264,473,-46.39909744262695
1747481038.3090262,477,-73.36328887939453
1747481054.4674625,482,-39.98455047607422
1747481061.7705746,486,-45.65542221069336
1747481072.0298948,489,-23.65973663330078
1747481074.4648085,491,-42.864322662353516
1747481079.9632602,495,-22.161338806152344
1747481080.0347462,496,-40.135868072509766
1747481087.3161309,501,-42.98420333862305
1747481097.8898137,502,-49.644290924072266
1747481115.6639628,508,-30.724517822265625
1747481165.6885722,531,0.24263985455036163
1747481165.7669442,533,-78.55885314941406
1747481170.2637722,534,-40.10890579223633
1747481172.9182172,535,-33.70466995239258
1747481173.4357462,538,-46.12321853637695
1747481185.4920774,540,-40.11975860595703
1747481253.1853426,554,-42.25957107543945
