Wall time,Step,Value
1747480366.9636497,5,0.0
1747480367.2872298,15,0.0
1747480367.2939184,16,0.0
1747480367.9460516,19,0.0
1747480368.031484,20,0.0
1747480393.0271666,27,96.0
1747480399.3388176,28,110.0
1747480444.2117476,41,256.0
1747480456.1775362,48,1.0
1747480456.2013385,49,1.0
1747480456.2298424,50,405.0
1747480491.1782553,63,93.0
1747480492.824983,64,258.0
1747480499.4307802,67,1.0
1747480499.4646518,68,56.0
1747480500.2522283,71,1.0
1747480500.2798975,72,226.0
1747480522.9521236,78,1.0
1747480531.1456475,83,120.0
1747480543.8150482,90,106.0
1747480557.1279867,100,30.0
1747480559.2760377,104,75.0
1747480562.3226326,108,1.0
1747480574.5981355,122,272.0
1747480582.3602827,126,1.0
1747480582.380074,127,1.0
1747480584.0518804,129,76.0
1747480588.2788312,131,70.0
1747480591.331136,137,1.0
1747480597.5167537,145,126.0
1747480602.3700404,147,1.0
1747480602.4164348,148,1.0
1747480610.1317174,151,1.0
1747480616.0738394,158,48.0
1747480618.860802,161,180.0
1747480622.278114,163,1.0
1747480624.1807256,165,97.0
1747480627.9574168,173,38.0
1747480635.0985117,178,1.0
1747480637.2437532,185,62.0
1747480638.4678361,186,1.0
1747480642.4950094,192,1.0
1747480642.5277932,193,1.0
1747480648.6257234,204,43.0
1747480651.540863,206,1.0
1747480661.2185724,214,121.0
1747480665.1647131,216,89.0
1747480674.856106,225,86.0
1747480682.793015,230,33.0
1747480695.1302025,245,1.0
1747480695.1495004,246,58.0
1747480709.0253003,259,207.0
1747480713.147461,260,33.0
1747480719.5799894,272,1.0
1747480719.7552338,275,1.0
1747480732.9254549,283,59.0
1747480735.3519852,286,178.0
1747480739.7077165,289,57.0
1747480741.0050268,291,318.0
1747480751.6480355,296,1.0
1747480751.7127185,298,101.0
1747480753.4479134,299,57.0
1747480762.9889755,309,19.0
1747480767.0492828,313,1.0
1747480774.8079817,317,55.0
1747480776.2363718,319,21.0
1747480776.8920057,320,1.0
1747480779.1040123,323,1.0
1747480812.2747269,346,1.0
1747480812.314689,347,1.0
1747480830.07381,359,71.0
1747480835.7323446,365,94.0
1747480837.6835797,366,189.0
1747480840.1320524,367,1.0
1747480847.7567477,379,1.0
1747480859.309682,387,517.0
1747480867.5806031,391,1.0
1747480870.458576,393,41.0
1747480875.9811523,398,83.0
1747480882.4370387,403,34.0
1747480885.8899436,405,129.0
1747480901.32278,416,210.0
1747480917.9499166,422,60.0
1747480919.1261563,423,138.0
1747480938.4242444,437,68.0
1747480941.365564,438,411.0
1747480952.6599033,440,237.0
1747480970.1657615,447,286.0
1747480985.305978,453,1.0
1747480994.0939,457,1.0
1747480995.6569054,462,56.0
1747481001.144732,466,177.0
1747481004.8063762,469,36.0
1747481011.3209517,471,24.0
1747481034.6624722,475,184.0
1747481037.1678185,476,96.0
1747481052.4040756,481,177.0
1747481054.467567,482,1.0
1747481067.8612607,488,273.0
1747481121.4289026,511,242.0
1747481124.6922488,513,163.0
1747481127.2299793,514,140.0
