Wall time,Step,Value
1746181666.0319898,25,-40.254573822021484
1746181684.1635723,39,-39.105979919433594
1746181705.5072432,47,-28.686267852783203
1746181705.5293694,48,-39.9089241027832
1746181733.163171,61,-111.1909408569336
1746181741.1763318,68,-40.41696548461914
1746181743.772771,69,0.031026974320411682
1746181773.7863584,83,-39.787601470947266
1746181774.2872665,84,-33.0687255859375
1746181786.6745512,88,-71.55510711669922
1746181788.845092,92,-32.163597106933594
1746181794.615626,98,-39.870079040527344
1746181798.581643,103,-39.671302795410156
1746181808.7830184,110,0.3010805547237396
1746181840.2938724,120,-32.332420349121094
1746181848.073419,124,-39.97171401977539
1746181859.7846963,128,-40.06328582763672
1746181883.29745,142,-26.0512752532959
1746181887.6271973,146,-40.44119644165039
1746181888.221309,147,-39.895206451416016
1746181891.4556022,149,-38.014976501464844
1746181893.6662784,151,-25.70273208618164
1746181894.613448,157,-40.21275329589844
1746181910.8066227,165,-39.888057708740234
1746181921.3806262,168,-27.613903045654297
1746181946.2146482,178,-38.48237609863281
1746181956.111858,181,-47.25914764404297
1746181965.2063098,183,-33.854339599609375
1746181969.0700815,185,-62.66865921020508
1746182013.2000866,193,-40.656036376953125
1746182031.9039078,198,-39.57493209838867
1746182080.0955944,212,-27.79172134399414
1746182080.1110795,213,-43.68257522583008
1746182103.2187006,224,-98.08441925048828
1746182105.4602377,226,-39.967525482177734
1746182111.7650115,234,-44.4400749206543
1746182157.4778733,250,-41.766517639160156
1746182176.2827866,265,-40.232635498046875
1746182176.414843,266,-39.98326873779297
1746182230.234074,279,-39.434974670410156
1746182230.2554767,280,-39.87346649169922
1746182267.1020186,292,-39.980140686035156
1746182275.0374768,295,-38.40794372558594
1746182306.2482657,303,-60.456214904785156
1746182313.245805,306,-39.19580078125
1746182320.9010832,309,-38.44068908691406
1746182329.1319184,311,-41.15922927856445
1746182345.7086132,316,-48.23515701293945
1746182371.4413285,329,-39.85170364379883
1746182381.1451461,337,-40.36919403076172
1746182396.4758217,339,0.0026176488026976585
1746182396.9726782,340,-39.62399673461914
1746182400.8330784,343,-39.9416618347168
1746182468.198408,366,-40.46082305908203
1746182476.4904087,367,-40.12587356567383
1746182519.4594767,379,-36.49787521362305
1746182534.7537308,385,-40.220558166503906
1746182534.7708752,386,-40.27101135253906
1746182534.7991905,387,-26.244321823120117
1746182572.042579,399,-39.291988372802734
1746182618.4228866,407,-40.795379638671875
1746182636.6275728,411,-33.11406707763672
1746182642.550396,413,-44.786556243896484
1746182659.585449,418,-29.945629119873047
1746182664.807257,423,-160.8243408203125
1746182674.7286859,425,-39.8647346496582
1746182692.9164581,436,-40.04779815673828
1746182704.6416655,442,-21.536251068115234
1746182704.6594985,443,-47.12354278564453
1746182717.8658016,457,-38.27755355834961
1746182726.9405408,458,-40.352333068847656
1746182734.125199,460,-30.09099006652832
1746182755.4246132,467,-33.38290023803711
1746182768.7352152,473,-38.598304748535156
1746182791.4779804,482,-39.93403244018555
1746182800.5918887,486,-25.807077407836914
1746182804.7314663,489,-40.595829010009766
1746182811.2239845,491,-39.66447830200195
1746182819.561999,495,-40.086273193359375
1746182823.2973392,496,-39.32228469848633
1746182828.2276707,501,0.35548368096351624
1746182828.2414932,502,-39.54257583618164
1746182837.220129,508,-40.095462799072266
1746182891.3022738,531,-40.69350051879883
1746182900.3828547,533,-31.579355239868164
1746182900.411403,534,-40.384681701660156
1746182900.468806,535,-21.288896560668945
1746182920.690722,538,-40.09885787963867
1746182933.9428468,540,-39.960453033447266
1746182983.8857102,554,-40.008384704589844
1746182985.3078237,555,-49.14143371582031
1746182995.5389755,557,-61.783634185791016
1746182998.5760052,559,-39.559417724609375
1746183002.3665726,561,-39.57740783691406
1746183013.9320505,565,-55.006046295166016
1746183015.3397882,567,-0.3296864330768585
1746183024.2589383,571,-43.74203872680664
1746183027.2593591,573,-40.15191650390625
1746183035.2648866,577,-0.40962454676628113
1746183046.6749268,583,-40.19493865966797
1746183046.7051919,585,-21.353652954101562
1746183048.8961215,589,-40.384281158447266
1746183083.6322193,605,-40.93523025512695
1746183090.8743837,611,-29.03551483154297
1746183101.537461,615,-37.35271072387695
1746183105.206117,617,-44.87466812133789
1746183154.0599897,634,-36.73685836791992
1746183154.0773826,635,-39.944793701171875
1746183166.780871,643,-40.03184127807617
1746183166.8112788,644,-39.530494689941406
1746183170.753032,649,-40.39755630493164
1746183170.8007677,650,-44.96543502807617
1746183209.662779,658,-42.49861526489258
1746183227.6779816,664,-40.317237854003906
1746183229.0468163,665,-40.26512908935547
1746183235.9895391,670,-39.773067474365234
1746183242.3710942,679,-47.81914520263672
1746183251.0631423,681,-40.11238479614258
1746183260.8442664,688,-39.917137145996094
1746183271.1516268,696,-39.70308303833008
1746183271.1783414,697,-40.019073486328125
1746183287.77328,705,-39.6221923828125
1746183309.6523495,713,-42.886573791503906
1746183320.1517036,715,-39.854042053222656
1746183396.4362204,731,0.15844887495040894
1746183418.5161803,742,-93.01691436767578
1746183421.7302403,744,0.487842321395874
1746183421.7605543,746,-0.38045862317085266
1746183440.0110326,749,-26.195680618286133
1746183446.6496248,752,-40.39643859863281
1746183447.3461375,753,-57.66965866088867
1746183467.1063025,765,-114.68534088134766
1746183543.762857,785,-39.8788948059082
1746183570.6999698,796,-27.92236328125
1746183583.1482623,797,-39.59592819213867
1746183605.6170044,803,-39.8797607421875
1746183623.1705067,809,-35.661983489990234
1746183666.0873752,825,-0.13795864582061768
1746183677.9791703,826,-44.623199462890625
1746183694.4185216,828,0.21551886200904846
1746183720.019499,840,0.41620123386383057
1746183749.562801,853,-40.947784423828125
1746183780.2459662,861,-39.94552993774414
1746183795.3510633,864,-40.10322570800781
1746183851.7463872,878,-39.89645767211914
1746183864.9623864,883,-80.64677429199219
1746183875.7661695,887,-22.28615379333496
1746183891.5109022,892,-104.92632293701172
1746183924.681721,907,-39.325443267822266
1746183951.8432086,918,-39.6214599609375
1746183960.2098742,922,0.26249638199806213
1746183976.0419161,929,-37.609867095947266
1746184005.4049482,951,-40.103912353515625
1746184011.9902787,953,-27.98500633239746
1746184044.0538535,963,0.2324358969926834
1746184051.7374976,970,-0.004874288570135832
1746184100.368327,984,-0.18948222696781158
1746184168.9511864,1000,-53.67018508911133
1746184174.025073,1003,0.3553937077522278
1746184239.4880464,1015,-39.31247329711914
1746184253.9999344,1020,0.18978498876094818
1746184285.6502402,1023,-35.751033782958984
1746184296.9624085,1025,-40.398094177246094
1746184326.272599,1036,-40.06755828857422
1746184337.9746926,1043,-51.913108825683594
1746184349.2094107,1047,-38.6424560546875
1746184350.636511,1049,0.09627628326416016
1746184385.4501097,1058,-39.98438262939453
1746184427.4731364,1077,-40.302818298339844
1746184460.066375,1091,-25.925338745117188
1746184467.8501086,1092,-24.8555908203125
1746184478.988952,1094,-39.33433151245117
1746184489.931763,1098,-47.3673095703125
1746184510.7989864,1107,0.008106078952550888
1746184530.479176,1119,-39.880855560302734
1746184537.9804366,1123,-43.221092224121094
1746184538.7062743,1125,-38.71320343017578
1746184543.571843,1128,-39.96670150756836
1746184551.153384,1130,-0.16749873757362366
1746184574.1834543,1132,0.22442224621772766
1746184597.610918,1142,-38.031959533691406
1746184620.8590584,1146,-71.93726348876953
1746184646.6648407,1153,-40.11774826049805
1746184659.4252813,1155,-25.60753631591797
1746184675.552314,1160,-36.2119140625
1746184690.380176,1167,-175.0641326904297
1746184700.5941834,1172,-0.05049386993050575
1746184702.8839111,1173,-40.18003463745117
1746184731.216418,1185,-39.82563400268555
1746184764.1569102,1195,-39.64323806762695
1746184764.1971323,1197,-62.322696685791016
1746184769.6594756,1198,-41.62168884277344
1746184794.895233,1205,-28.27989387512207
1746184810.8470087,1210,-56.4329719543457
1746184836.0593297,1214,0.024295464158058167
