Wall time,Step,Value
1746126343.135847,25,-40.26390075683594
1746126360.089774,39,-40.01155471801758
1746126368.6356335,47,-0.06798343360424042
1746126370.5261683,48,0.19403612613677979
1746126381.5905676,61,-23.949338912963867
1746126387.443601,68,-30.384628295898438
1746126388.466465,69,-43.41301345825195
1746126405.1417284,83,-48.340660095214844
1746126410.7430162,84,-39.91262435913086
1746126414.7901995,88,-68.00688171386719
1746126419.0449615,92,-39.98414611816406
1746126430.302357,98,-41.44912338256836
1746126440.9106488,103,-40.49951171875
1746126453.5982928,110,-41.28030014038086
1746126472.3229005,120,-75.01239013671875
1746126477.698787,124,-40.50117111206055
1746126485.8623352,128,-39.93592071533203
1746126498.3876197,142,-75.02450561523438
1746126500.4543896,146,-91.46184539794922
1746126502.7742922,147,-40.18877029418945
1746126504.6821103,149,-40.17802429199219
1746126505.256987,151,-40.039920806884766
1746126507.0432658,157,-40.68153762817383
1746126521.8708625,165,-38.38199996948242
1746126523.7202668,168,-40.138431549072266
1746126541.355306,178,-39.90810012817383
1746126548.237312,181,-39.185115814208984
1746126550.04323,183,-39.898563385009766
1746126550.0940375,185,-31.040563583374023
1746126564.9495347,193,-38.873592376708984
1746126573.3573623,198,-40.01934051513672
1746126594.9973683,212,0.28711390495300293
1746126595.0378995,213,-40.04127883911133
1746126620.7068708,224,-40.03300094604492
1746126623.1580534,226,-74.94586181640625
1746126635.7932,234,-74.86225891113281
1746126655.145862,250,-34.33888626098633
1746126670.4231312,265,-39.7403450012207
1746126673.3616328,266,-37.9253044128418
1746126701.9587765,279,-29.330303192138672
1746126704.3873322,280,-33.81364059448242
1746126731.1491258,292,-40.04719543457031
1746126734.4873073,295,-38.87870788574219
1746126744.594526,303,-40.63249206542969
1746126746.2173862,306,-31.564285278320312
1746126757.6497676,309,-40.094207763671875
1746126762.0060177,311,-25.249155044555664
1746126775.7857351,316,-0.2864878177642822
1746126797.2951562,329,-39.94623565673828
1746126804.774113,337,-39.9898567199707
1746126807.7643297,339,0.3304249942302704
1746126809.9276276,340,-40.031429290771484
1746126828.6785953,343,-74.6177978515625
1746126879.477248,366,-40.31400680541992
1746126879.4927604,367,-53.28034210205078
1746126893.53312,379,-40.16999435424805
1746126900.8641226,385,-58.046875
1746126912.053559,386,-89.84779357910156
1746126916.4401653,387,-49.86125183105469
1746126942.5611503,399,-57.39005661010742
1746126950.2258158,407,-42.558555603027344
1746126957.2265718,411,-39.861167907714844
1746126957.2986856,413,-58.49317169189453
1746126971.6412601,418,-76.59980773925781
1746126982.9220514,423,-39.79547882080078
1746126986.8827853,425,-40.45459747314453
1746127009.4406686,436,-34.84708786010742
1746127023.8642497,442,-40.34126281738281
1746127026.539877,443,0.048014864325523376
1746127061.6677105,457,-38.777549743652344
1746127061.678927,458,-36.3270263671875
1746127069.5268602,460,-55.29738235473633
1746127084.019351,467,-42.78449249267578
1746127089.68116,473,-51.49456787109375
1746127094.16129,482,-40.333709716796875
1746127109.1020997,486,-40.10575485229492
1746127117.1908462,489,-82.60551452636719
1746127118.7982874,491,-54.786861419677734
1746127125.2396271,495,-51.26228332519531
