Wall time,Step,Value
1746108328.7664492,5,0.0
1746108329.0042748,19,0.0
1746108341.259306,27,1.0
1746108341.361712,28,49.0
1746108359.3972213,41,114.0
1746108369.6772563,48,56.0
1746108370.5679371,49,121.0
1746108390.161614,63,57.0
1746108391.7911723,64,1.0
1746108400.5202847,68,79.0
1746108408.1916084,72,77.0
1746108419.3965518,78,241.0
1746108422.9380987,83,1.0
1746108429.3052895,90,112.0
1746108433.6701581,100,1.0
1746108437.944179,104,53.0
1746108442.3427641,108,1.0
1746108460.6437285,122,1.0
1746108474.0580585,126,1.0
1746108474.0805337,127,56.0
1746108479.326643,129,1.0
1746108479.364297,131,1.0
1746108493.7573366,137,269.0
1746108506.7612667,145,1.0
1746108508.7970462,148,300.0
1746108531.3528361,158,1.0
1746108534.186088,161,75.0
1746108535.6162984,163,1.0
1746108545.1735938,165,391.0
1746108581.81388,173,205.0
1746108594.761498,178,92.0
1746108652.0553875,192,226.0
1746108655.5450585,193,58.0
1746108685.834667,204,369.0
1746108692.820678,206,214.0
1746108718.4527702,214,343.0
1746108781.2325838,230,161.0
1746108826.956219,245,159.0
1746108831.6576717,246,1.0
1746108874.1129537,259,352.0
1746108878.1791468,260,346.0
1746108912.4726624,272,177.0
1746108924.0538306,275,93.0
1746108935.9951646,283,45.0
1746108937.656739,286,1.0
1746108941.8474803,291,77.0
1746108963.447862,296,119.0
1746109017.8693242,309,360.0
1746109046.1572394,317,72.0
1746109048.8889155,319,172.0
1746109051.2250865,320,48.0
1746109058.543128,323,519.0
1746109120.1682832,346,615.0
1746109128.5694513,347,1.0
1746109144.7301235,359,66.0
1746109150.5950623,365,71.0
1746109151.646545,366,1.0
1746109151.6646233,367,103.0
1746109174.484364,379,86.0
1746109197.667503,387,1.0
1746109208.6953878,391,223.0
1746109213.411139,393,156.0
1746109222.0942743,398,352.0
1746109247.3511803,403,603.0
1746109272.9258657,405,126.0
1746109334.16222,416,590.0
1746109361.7732382,422,145.0
1746109363.3701007,423,350.0
1746109394.0735202,437,1.0
1746109394.0881107,438,94.0
1746109403.429544,440,1.0
1746109409.5391722,447,158.0
1746109428.2295098,453,1.0
1746109449.2182932,462,1.0
1746109456.251457,466,1.0
1746109460.189228,469,1.0
1746109466.4158342,471,192.0
1746109480.2797208,475,292.0
1746109484.6813176,476,77.0
1746109499.4254007,481,1.0
1746109499.4654295,482,1.0
1746109531.176252,488,60.0
1746109601.1446154,511,326.0
1746109615.306261,513,50.0
1746109615.972476,514,140.0
1746109617.8486822,515,1.0
1746109621.429901,518,1.0
1746109626.993077,520,1.0
1746109667.5166955,534,1.0
1746109667.5581925,535,125.0
1746109672.0663161,537,112.0
1746109675.0701737,539,1.0
1746109675.6826823,541,676.0
1746109704.4784625,545,112.0
1746109714.7223184,547,1.0
1746109723.4487238,551,29.0
1746109723.8170762,553,491.0
1746109739.945772,557,40.0
1746109748.9491613,563,1.0
1746109748.994171,565,355.0
1746109755.3822646,569,33.0
1746109810.5775676,585,700.0
1746109833.3111346,591,562.0
1746109854.0037344,595,71.0
1746109881.1205838,597,86.0
1746109963.2917218,614,601.0
1746109971.2812574,615,648.0
1746110001.8883018,623,166.0
1746110003.901387,624,74.0
1746110009.2165828,629,1.0
1746110009.2405167,630,194.0
1746110031.2610643,638,381.0
1746110044.6440578,644,107.0
1746110046.056569,645,1.0
1746110052.6996725,650,170.0
1746110062.3710368,659,69.0
1746110069.4541602,661,183.0
1746110113.2485626,668,110.0
1746110138.5478091,676,123.0
1746110140.8589244,677,1.0
1746110166.374955,685,134.0
1746110178.2407005,693,75.0
1746110181.0105972,695,1.0
1746110224.5913675,711,1.0
1746110266.0888736,722,85.0
1746110268.592647,724,124.0
1746110275.169643,726,1.0
1746110286.4079714,729,1.0
1746110313.2673874,732,102.0
1746110315.3402832,733,357.0
1746110368.8291867,745,1.0
1746110421.7537084,765,89.0
1746110446.0472164,776,82.0
1746110447.7954235,777,1.0
1746110466.2210624,783,53.0
1746110476.11654,789,156.0
1746110521.8986142,805,396.0
1746110532.2808037,806,165.0
1746110542.3268545,808,253.0
1746110574.2320948,820,610.0
1746110598.9816318,833,1.0
1746110625.3139956,841,51.0
1746110628.392,844,126.0
1746110659.8777063,858,1.0
1746110685.189084,863,71.0
1746110698.27663,867,93.0
1746110706.5105307,872,59.0
1746110744.5195868,887,100.0
1746110765.9801915,898,1.0
1746110770.0224817,902,468.0
1746110800.7806404,909,1.0
1746110843.6916099,931,321.0
1746110851.8840868,933,1.0
1746110872.5839434,943,97.0
1746110891.1299107,950,1.0
1746110957.0895617,964,164.0
1746110998.8684967,980,1.0
1746111000.3244948,983,62.0
1746111018.4810371,995,1.0
1746111020.075429,1000,1.0
1746111026.3909552,1003,1.0
1746111031.2792091,1005,100.0
1746111064.6430671,1016,36.0
1746111087.1210575,1023,566.0
1746111102.85308,1027,193.0
1746111106.320756,1029,175.0
1746111133.0608592,1038,1.0
1746111203.816609,1057,375.0
1746111252.7632647,1071,62.0
1746111253.5134237,1072,105.0
1746111256.3310282,1074,198.0
1746111265.6932466,1078,215.0
1746111285.81427,1087,1.0
1746111317.1526682,1099,140.0
1746111321.652962,1103,189.0
1746111327.622637,1105,155.0
1746111332.4374003,1108,74.0
1746111340.3470137,1110,378.0
1746111351.8230448,1112,113.0
1746111381.251697,1122,19.0
1746111389.5017247,1126,308.0
1746111418.51256,1133,1.0
1746111420.6012375,1135,147.0
1746111433.8242323,1140,87.0
1746111446.002178,1147,619.0
1746111463.153592,1152,1.0
1746111463.1679108,1153,288.0
1746111512.5028837,1165,1.0
1746111550.7256126,1175,339.0
1746111556.4126587,1177,380.0
1746111561.694576,1178,423.0
1746111582.0712657,1185,109.0
1746111605.9816008,1190,329.0
1746111616.1333785,1194,411.0
1746111625.3291087,1195,155.0
1746111655.4580271,1207,83.0
1746111673.7283072,1215,389.0
1746111684.7507951,1219,253.0
1746111694.1984482,1224,554.0
1746111708.6177764,1226,1.0
1746111781.4890087,1245,617.0
1746111796.2742014,1247,1.0
1746111819.6553736,1252,68.0
1746111820.7089038,1253,246.0
1746111829.5503767,1255,99.0
1746111837.8086483,1258,476.0
1746111855.4924958,1262,41.0
1746111866.8219,1268,1.0
1746111880.0192292,1272,70.0
1746111887.109213,1277,580.0
1746111915.6979795,1283,1.0
1746111924.341934,1286,172.0
1746111932.1575332,1291,299.0
1746111956.9296556,1299,97.0
1746111961.8697052,1303,1.0
1746111973.1920643,1307,1.0
1746112003.0752113,1316,119.0
1746112024.22094,1323,1.0
1746112032.653224,1326,204.0
1746112035.8055685,1327,46.0
1746112046.6326368,1336,78.0
1746112063.2377892,1346,29.0
1746112116.0407498,1361,273.0
1746112124.5131128,1365,223.0
1746112177.5326898,1376,161.0
1746112180.7606316,1377,35.0
1746112196.384858,1381,1.0
1746112237.530179,1394,551.0
1746112312.2594645,1418,171.0
1746112359.9401689,1437,36.0
1746112369.2643673,1439,320.0
1746112375.4153955,1440,124.0
1746112401.1005733,1450,294.0
1746112420.3931916,1458,1.0
1746112421.1941683,1459,119.0
1746112441.9349666,1462,384.0
1746112501.4610279,1475,338.0
1746112509.7632627,1477,1.0
1746112532.8269958,1488,425.0
1746112546.343807,1491,203.0
1746112554.7841465,1495,268.0
1746112560.310353,1499,1.0
1746112569.8686411,1503,157.0
1746112579.6763606,1510,1.0
1746112583.4271283,1511,222.0
1746112592.35683,1514,420.0
1746112607.3601072,1517,62.0
1746112631.316883,1529,1.0
1746112642.7519517,1535,133.0
1746112652.0528262,1539,225.0
1746112690.7036774,1549,232.0
1746112699.4971,1552,1.0
1746112766.4027882,1566,402.0
1746112778.3946834,1569,166.0
1746112793.7687962,1574,189.0
1746112802.9668093,1577,345.0
1746112821.4269948,1586,122.0
1746112844.1701882,1597,51.0
1746112848.548849,1602,1.0
1746112859.5685937,1604,62.0
1746112930.6731508,1628,1.0
1746112953.0691335,1636,1.0
1746112954.3345592,1638,74.0
1746112962.2362854,1641,81.0
1746112982.0314476,1647,88.0
1746112984.6635957,1648,1.0
1746112994.820032,1655,183.0
1746113013.558056,1663,84.0
1746113031.365106,1667,1.0
1746113053.1269565,1671,214.0
1746113077.422348,1678,206.0
1746113087.1929104,1680,373.0
1746113100.6736555,1686,86.0
1746113134.0107596,1695,223.0
1746113158.2999773,1703,155.0
1746113168.453637,1705,209.0
1746113173.7007618,1708,34.0
1746113186.7790136,1711,59.0
1746113188.2179103,1712,311.0
1746113214.1049035,1719,235.0
1746113229.4741433,1724,74.0
1746113249.0183513,1731,1.0
1746113273.4382288,1740,279.0
1746113282.8297288,1744,92.0
1746113290.070642,1746,184.0
1746113327.0007987,1755,1.0
1746113337.4915037,1766,393.0
1746113368.809951,1776,331.0
1746113374.9484046,1778,375.0
1746113393.4038503,1785,142.0
1746113404.2164118,1790,254.0
1746113410.716851,1793,112.0
1746113431.5219965,1801,1.0
1746113463.7063334,1820,95.0
1746113484.4616883,1831,1.0
1746113534.8447905,1848,191.0
1746113545.2289746,1852,1.0
1746113559.1905801,1861,1.0
1746113571.5745802,1866,225.0
1746113575.0443382,1867,175.0
1746113577.4828148,1868,359.0
1746113642.8691635,1889,1.0
1746113668.790478,1900,171.0
1746113686.6312013,1903,101.0
1746113705.7265902,1909,148.0
1746113708.1987693,1910,153.0
1746113712.8720596,1914,451.0
1746113730.0424986,1919,303.0
1746113744.58904,1925,1.0
1746113744.616557,1926,106.0
1746113778.682826,1937,224.0
1746113791.578397,1941,203.0
1746113794.7076366,1942,164.0
1746113808.4654176,1946,371.0
1746113817.2414145,1948,161.0
1746113840.6842256,1957,196.0
1746113857.4717143,1961,325.0
1746113864.0907226,1962,236.0
1746113871.8676808,1964,69.0
1746113872.9980395,1965,219.0
1746113881.6635945,1967,1.0
1746113915.3090076,1978,265.0
1746113925.6612346,1980,77.0
1746113949.1800938,1988,1.0
1746113949.2187188,1989,177.0
1746113961.2504752,1992,349.0
1746114065.4489636,2027,69.0
1746114106.1873572,2048,74.0
1746114118.5110412,2056,1.0
1746114156.331972,2068,194.0
1746114167.8530405,2071,285.0
1746114187.3037024,2080,1.0
1746114204.8223562,2090,71.0
1746114232.898945,2098,117.0
1746114249.3324676,2101,1.0
1746114251.2205637,2104,78.0
1746114273.0191503,2110,102.0
1746114282.4197657,2115,79.0
1746114283.4225607,2116,550.0
1746114295.6210477,2120,50.0
1746114296.3820405,2121,321.0
1746114319.1977232,2128,104.0
1746114343.8594694,2140,160.0
1746114415.2408278,2160,284.0
1746114452.4391253,2170,159.0
1746114500.8643174,2188,1.0
1746114521.6859343,2195,46.0
1746114544.4190464,2202,1.0
1746114562.1696866,2210,328.0
1746114568.3611803,2212,1.0
1746114581.2807896,2216,305.0
1746114597.3623488,2222,87.0
1746114599.964541,2226,1.0
1746114643.8072767,2237,260.0
1746114656.5463467,2240,47.0
1746114675.3815792,2245,47.0
1746114714.5681634,2258,210.0
1746114801.535661,2282,193.0
1746114857.4359372,2301,75.0
1746114870.4141762,2306,374.0
1746114879.0346642,2307,261.0
1746114901.6499245,2317,64.0
1746114905.26644,2320,328.0
1746114915.8416302,2325,1.0
1746114923.931371,2333,1.0
1746114953.007034,2343,1.0
1746114985.5998666,2353,373.0
1746115008.5025206,2360,1.0
1746115117.2018929,2390,476.0
1746115136.5642233,2394,91.0
1746115137.7967055,2395,112.0
1746115146.999858,2399,115.0
1746115237.518687,2429,78.0
1746115239.3940473,2432,1.0
1746115247.3199992,2436,96.0
1746115249.214371,2437,24.0
1746115264.7731447,2442,118.0
1746115304.0312154,2455,100.0
1746115316.532362,2463,249.0
1746115332.676469,2466,68.0
1746115373.9311357,2486,1.0
1746115395.5877085,2494,336.0
1746115406.2423408,2499,252.0
1746115417.0505795,2501,127.0
1746115425.165412,2504,205.0
1746115431.5946813,2506,82.0
1746115433.240998,2507,238.0
1746115480.4081368,2518,209.0
1746115483.4271784,2519,86.0
1746115484.581028,2520,312.0
1746115492.8851237,2522,261.0
1746115496.7096293,2524,189.0
1746115514.439603,2529,92.0
1746115518.7590446,2531,68.0
1746115537.9125943,2539,1.0
1746115603.7926347,2566,182.0
1746115606.4878945,2567,261.0
1746115615.7890685,2578,1.0
1746115617.2375095,2579,110.0
1746115666.0722613,2589,112.0
1746115667.4978898,2590,168.0
1746115675.653345,2593,46.0
1746115694.001883,2600,1.0
1746115707.6188097,2607,151.0
1746115757.2050667,2620,180.0
1746115771.370226,2628,1.0
1746115771.385011,2629,77.0
1746115792.544832,2636,111.0
1746115806.1403253,2639,1.0
1746115806.1597035,2640,138.0
1746115809.4273646,2641,138.0
1746115813.3938482,2644,119.0
1746115862.2248147,2663,1.0
1746115877.5251768,2671,1.0
1746115877.5928788,2672,1.0
1746115894.45073,2675,253.0
1746115916.4702215,2682,174.0
1746115921.0483696,2685,530.0
1746115931.0112314,2687,45.0
1746115938.0070639,2690,451.0
1746115955.898003,2694,82.0
1746115979.4420943,2703,427.0
1746116002.1567423,2709,116.0
1746116014.8322744,2714,124.0
1746116021.9542453,2718,94.0
