Wall time,Step,Value
1746681627.7602994,25,-40.249481201171875
1746681644.0991492,35,-39.96440124511719
1746681644.1478088,36,-71.92927551269531
1746681649.8302224,39,-39.938720703125
1746681653.1916597,40,-27.90408706665039
1746681670.7542477,47,-44.321468353271484
1746681672.0454166,48,-97.95589447021484
1746681686.4494212,61,-40.062278747558594
1746681692.296443,68,-37.941158294677734
1746681694.422233,69,-39.938453674316406
1746681694.4592671,70,-32.65302276611328
1746681705.6534922,83,-52.1517219543457
1746681710.010893,84,-40.84914779663086
1746681715.386364,87,0.3948311507701874
1746681715.4727108,88,-38.0439453125
1746681718.0028806,91,-65.39969635009766
1746681723.049994,92,-45.488861083984375
1746681728.7642665,98,-40.70107650756836
1746681738.4511058,103,-79.66580963134766
1746681749.342051,110,-51.499027252197266
1746681757.9354954,120,0.27963128685951233
1746681760.8165162,124,-41.338871002197266
1746681769.5497432,128,-102.74386596679688
1746681779.6919787,142,-39.81570053100586
1746681782.248192,146,-40.12010955810547
1746681782.252182,147,-50.28655242919922
1746681789.3814638,149,-39.83325958251953
1746681798.0076807,151,0.14293023943901062
1746681813.2620234,157,-39.65556716918945
1746681843.9175923,165,-37.32339859008789
1746681848.0153751,167,-40.67216491699219
1746681850.5466754,168,-39.857303619384766
1746681859.202837,171,-40.56222152709961
1746681879.2214339,178,0.5080052018165588
1746681883.5736213,181,-40.392051696777344
1746681889.1104453,183,-39.96100616455078
1746681889.2010555,185,0.3074301779270172
1746681910.659588,193,-72.97068786621094
1746681919.9877524,198,-26.548542022705078
1746681939.768727,205,-39.93830871582031
1746681941.0449257,206,-27.90324592590332
1746681960.0031073,212,-40.48374938964844
1746681964.3522418,213,-24.566158294677734
1746681994.150151,224,-82.5765380859375
1746681999.2673206,226,-43.191444396972656
1746682028.0277553,234,-35.309749603271484
1746682046.7200067,236,-0.005131157580763102
1746682075.6234853,245,-41.46296310424805
1746682096.969531,250,-40.423160552978516
1746682151.630876,265,-40.494930267333984
1746682156.0560343,266,-39.03843688964844
1746682189.0861168,279,-40.99054718017578
1746682192.5460038,280,-94.58531951904297
1746682212.8702326,292,-39.977806091308594
1746682215.681431,295,-44.589691162109375
1746682243.1695538,303,-61.665287017822266
1746682246.6847754,306,-36.47093200683594
1746682250.953343,309,-40.712066650390625
1746682260.4217825,311,-40.80554962158203
1746682272.9992323,316,-40.33068084716797
1746682277.0499623,318,-36.60115432739258
1746682278.5825288,319,-24.64499282836914
1746682300.2834587,329,-21.413848876953125
1746682307.6759734,333,-40.01544189453125
1746682326.4372237,337,-33.87260437011719
1746682330.3596268,339,-29.341289520263672
1746682330.38935,340,0.2657248377799988
1746682342.6253717,343,-40.10422134399414
1746682450.3006895,366,-40.07206344604492
1746682461.6359708,367,-24.769821166992188
1746682511.3740108,379,-39.8823356628418
1746682536.6142519,385,-78.64615631103516
1746682543.1821508,386,-30.841291427612305
1746682543.1990821,387,-39.78856658935547
1746682571.0896368,399,-40.200347900390625
1746682597.0397172,407,-98.68753814697266
1746682620.238519,411,-29.202795028686523
1746682637.7468903,413,-75.09178924560547
1746682656.3498108,418,-20.541093826293945
1746682676.7369637,423,-54.16796875
1746682690.2873695,425,-50.74583435058594
1746682728.189525,436,-0.292988121509552
1746682760.4202957,442,-35.934940338134766
1746682762.810393,443,-40.409706115722656
1746682809.4943662,457,-39.658512115478516
1746682809.52333,458,-36.09016418457031
1746682810.8087926,460,-40.30072784423828
1746682823.5744965,467,-35.44676971435547
1746682838.8617642,473,-27.876689910888672
1746682858.8789198,477,-27.317174911499023
1746682874.0390513,482,-0.38951706886291504
1746682894.869175,486,-40.10206604003906
1746682901.5780027,489,-40.20466613769531
1746682920.8586655,491,-40.060638427734375
1746682928.3997974,495,-74.94005584716797
1746682931.6614358,496,-170.2423553466797
1746682955.4912906,501,-27.844392776489258
1746682979.4417012,502,-41.319908142089844
1746683019.7224793,508,-39.81355667114258
1746683141.5231576,531,-39.99809646606445
1746683147.6073298,533,-40.08891677856445
1746683155.5480232,534,0.36142414808273315
1746683155.629728,535,-78.2060546875
1746683176.8960238,538,-39.984336853027344
1746683192.3029015,540,-49.34479904174805
1746683250.7681863,554,0.28418171405792236
1746683256.9483743,555,-40.17693328857422
1746683257.0334904,557,-41.737422943115234
1746683268.148593,559,-42.371944427490234
1746683273.3460615,561,-39.855289459228516
1746683295.0489917,565,-40.23393249511719
1746683297.0471907,567,-40.14278793334961
1746683325.830053,571,-40.18035125732422
1746683337.3487642,573,-39.9598388671875
1746683363.4950554,577,-0.1316038817167282
1746683390.8092432,583,-41.57414627075195
1746683400.6602035,585,-55.48851776123047
1746683409.6714847,589,-39.561866760253906
1746683442.1905065,605,-39.02151870727539
1746683442.2255666,606,-36.59675598144531
1746683442.3518882,609,-36.4190559387207
1746683461.21701,611,-40.159297943115234
1746683467.1169958,615,-36.183677673339844
1746683477.9234285,617,-39.98637390136719
1746683593.448413,634,0.22741229832172394
1746683600.2797394,635,0.27167677879333496
1746683619.8242726,643,-40.45341110229492
1746683630.1637893,644,-71.05046081542969
1746683649.9483376,649,-37.671531677246094
1746683652.7150812,650,0.0013075602473691106
1746683672.7470305,654,0.3112010359764099
1746683684.6112373,658,-52.77399444580078
1746683699.4287694,664,-39.998870849609375
1746683699.45677,665,0.006605134811252356
1746683713.1481984,670,-39.520042419433594
1746683713.8482878,672,0.29439881443977356
1746683722.0401404,679,0.005621159449219704
1746683723.389856,681,-53.685237884521484
1746683748.9255948,688,0.4710516631603241
1746683753.8256447,696,-41.59233856201172
1746683756.4736032,697,-36.74932098388672
1746683783.2052298,705,-40.01355743408203
1746683818.2027526,713,-40.72489547729492
1746683823.2798831,715,-75.45861053466797
1746683871.3883426,731,0.49303820729255676
1746683902.5645428,742,-39.837013244628906
1746683913.5302768,744,-39.871238708496094
1746683919.0904164,746,-40.01866149902344
1746683919.1583033,747,-40.27260208129883
1746683928.5406294,749,0.1658606082201004
1746683928.5832398,750,-39.82230758666992
1746683933.1078157,752,-184.64158630371094
1746683938.565383,753,-40.719566345214844
1746683942.8478713,754,-0.06834203749895096
1746683971.4535916,759,-40.31834411621094
1746683989.1586747,765,0.23056119680404663
