Wall time,Step,Value
1746498721.7633002,5,0.0
1746498721.951621,15,0.0
1746498721.9548774,16,0.0
1746498722.040012,19,0.0
1746498722.0906835,20,0.0
1746498737.9245238,27,33.0
1746498739.6245346,28,1.0
1746498782.0549853,41,91.0
1746498806.2878108,48,245.0
1746498815.1976476,49,1.0
1746498815.2429473,50,1.0
1746498843.1672292,55,375.0
1746498921.71383,63,552.0
1746498932.0331228,64,74.0
1746498956.221501,67,485.0
1746498965.6126418,68,1.0
1746498976.9105053,71,508.0
1746498985.0272782,72,171.0
1746499021.555511,78,159.0
1746499035.6912942,83,1.0
1746499063.223561,90,1.0
1746499091.5473588,100,364.0
1746499120.550479,104,334.0
1746499135.1094332,108,287.0
1746499205.6620593,122,1.0
1746499237.5903773,126,469.0
1746499248.296232,127,288.0
1746499261.0170538,129,192.0
1746499272.620284,131,166.0
1746499307.6109738,137,292.0
1746499332.928442,145,347.0
1746499346.201481,147,434.0
1746499355.555917,148,129.0
1746499360.0040355,151,1.0
1746499393.8989666,158,557.0
1746499408.7894087,161,34.0
1746499415.847213,163,208.0
1746499426.4034562,165,120.0
1746499448.0457678,172,394.0
1746499459.030944,173,1.0
1746499474.7441447,178,229.0
1746499507.6111288,185,174.0
1746499511.3041964,186,212.0
1746499538.9252534,192,125.0
1746499540.4499063,193,172.0
1746499567.8899276,204,37.0
1746499568.5086908,206,170.0
1746499592.2485456,214,1.0
1746499593.291312,216,1.0
1746499611.0624382,225,125.0
1746499629.952824,230,1.0
1746499659.039742,245,237.0
1746499663.899771,246,1.0
1746499679.7221432,259,454.0
1746499701.157708,260,81.0
1746499703.4969466,261,68.0
1746499761.7187674,272,270.0
1746499770.9231675,275,468.0
1746499787.9072998,279,1.0
1746499793.1696417,283,1.0
1746499807.3402917,286,415.0
1746499819.3966963,289,202.0
1746499823.7849793,291,1.0
1746499827.1019144,296,128.0
1746499838.3468518,298,82.0
1746499840.5663292,299,1.0
1746499877.502374,309,174.0
1746499893.306241,313,65.0
1746499911.4433494,317,1.0
1746499919.0529046,319,281.0
1746499926.2642727,320,159.0
1746499948.403213,323,138.0
1746500015.4428384,338,242.0
1746500045.4266088,346,215.0
1746500048.111664,347,1.0
