Step,Value
27,57.0
28,56.44
41,57.2456
48,57.673144
49,60.68641256
50,60.859548434400004
63,61.080952950056
64,62.85014342055544
68,65.1116419863499
71,64.4705255664864
72,67.01582031082154
78,73.34566210771332
83,75.87220548663619
90,77.84348343176983
100,77.69504859745213
104,79.40809811147761
108,80.82401713036285
122,83.45577695905922
126,84.40121918946863
127,84.73720699757395
129,86.67983492759822
131,91.13303657832225
137,94.78170621253902
145,94.62388915041363
147,95.7776502589095
148,94.82987375632041
151,96.5215750187572
158,97.69635926856964
161,100.17939567588395
163,99.5576017191251
165,100.28202570193385
173,101.59920544491452
178,104.08321339046537
185,108.04238125656072
186,111.20195744399511
192,112.32993786955515
193,111.9766384908596
204,112.276872105951
206,111.16410338489149
214,110.06246235104258
230,112.91183772753216
245,112.52271935025684
246,116.82749215675427
259,115.66921723518674
260,114.52252506283487
272,113.38729981220654
275,112.26342681408447
283,112.67079254594363
286,114.30408462048419
289,114.57104377427935
291,113.43533333653656
296,112.3109800031712
298,111.19787020313949
299,111.55589150110809
309,112.76033258609702
313,112.39272926023605
317,113.3688019676337
319,112.24511394795736
320,111.63266280847779
323,111.19633618039302
346,111.39437281858909
347,115.7204290904032
359,114.57322479949917
365,116.50749255150417
366,118.00241762598912
367,116.83239344972924
379,116.29406951523194
387,115.14112882007963
391,113.99971753187884
393,113.52972035656006
398,112.40442315299447
403,111.29037892146452
405,110.18747513224989
416,113.8856003809274
422,115.11674437711812
423,115.22557693334694
437,114.08332116401348
438,112.95248795237335
440,111.83296307284962
447,114.37463344212112
453,113.24088710769992
457,114.48847823662291
462,116.47359345425667
466,116.1088575197141
469,116.76776894451697
471,116.2700912550718
475,118.0973903425211
476,119.77641643909588
481,119.45865227470492
482,119.14406575195787
488,117.9626250944383
511,117.68299884349392
513,118.60616885505898
514,118.37010716650839
515,117.19640609484331
518,117.20444203389488
520,118.06239761355593
534,116.89177363742037
535,118.24285590104616
537,118.6304273420357
539,120.17412306861534
541,120.3423818379292
545,122.6089580195499
547,123.6428684393544
551,125.83643975496086
553,124.58807535741126
557,127.55219460383715
563,127.59667265779879
565,127.6807059312208
569,129.4238988719086
585,128.1396598831895
586,127.97826328435761
589,127.19848065151403
591,125.9364958449989
595,125.85713088654892
597,125.31855957768343
614,124.9353739819066
615,124.56602024208752
623,124.12036003966664
624,125.57915643926997
629,127.40336487487727
630,127.3693312261285
634,126.10563791386721
638,126.19458153472853
644,125.48263571938124
645,125.52780936218743
650,126.07253126856554
652,125.4318059558799
659,125.7474878963211
661,125.4900130173579
668,126.63511288718432
676,127.51876175831248
677,128.95357414072936
685,129.35403839932206
693,129.94049801532884
695,129.59109303517553
711,131.20518210482376
722,132.92313028377552
724,132.37389898093775
726,133.77015999112837
729,134.59245839121706
730,135.2265338073049
