Step,Value
27,52.0
28,52.08
41,52.7892
48,52.991308000000004
49,53.701394920000006
50,53.1743809708
63,53.77263716109201
64,53.24491078948108
67,52.72246168158627
68,52.865237064770405
71,52.9965846941227
72,52.47661884718147
78,51.96185265870965
83,52.60223413212256
90,52.28621179080134
100,53.06334967289333
104,52.5427161761644
108,52.39728901440276
122,52.54331612425873
126,56.66788296301615
127,56.341204133385986
129,56.47779209205213
131,55.923014171131605
137,55.82378402942029
145,55.35554618912609
147,55.46199072723483
148,55.45737081996248
151,54.91279711176285
158,56.093669140645225
161,57.082732449238776
163,56.52190512474638
165,57.026686073498915
173,56.466419212763924
178,55.911755020636285
185,55.43263747042992
186,54.88831109572561
192,54.349427984768354
193,55.57593370492067
204,55.03017436787146
206,56.95987262419275
214,56.40027389795082
216,59.13627115897131
225,58.55490844738159
230,57.97935936290777
245,59.7795657692787
246,60.241770111585915
259,60.909352410470056
260,60.310258886365354
272,60.5671562975017
275,60.09148473452668
283,59.50056988718141
286,59.695564188309596
289,59.7686085464265
291,59.18092246096223
296,58.59911323635261
298,61.613122103989085
299,61.00699088294919
309,63.5269209741197
313,62.9016517643785
317,62.912635246734716
319,63.403508894267375
320,68.0094738053247
323,68.01937906727146
346,72.28918527659874
347,71.57629342383277
359,72.53053048959444
365,71.8152251846985
366,75.00707293285151
367,76.907002203523
379,76.14793218148777
387,75.8064528596729
391,78.91838833107617
393,78.13920444776542
398,78.94781240328777
403,80.92833427925488
405,80.12905093646233
416,80.86776042709772
422,81.70908282282674
423,86.90199199459848
437,91.0829720746525
438,90.18214235390599
440,92.22032093036692
447,92.66811772106325
453,93.52143654385262
457,92.5962221784141
462,93.62025995662995
466,92.69405735706366
469,91.77711678349303
471,93.1193456156581
475,92.19815215950153
476,92.04617063790651
481,91.65570893152744
482,94.66915184221217
488,95.57246032379005
511,100.68673572055216
513,101.69986836334664
514,103.57286967971316
515,109.53714098291603
518,111.09176957308688
520,113.310851877356
534,112.20774335858243
535,111.8356659249966
537,114.00730926574664
539,119.86723617308917
541,123.12856381135828
545,121.90727817324469
547,124.52820539151224
551,123.29292333759713
553,125.16999410422116
557,124.60829416317894
563,123.37221122154716
565,122.78848910933169
569,122.66060421823836
585,122.03399817605597
586,122.06365819429541
589,120.85302161235246
591,119.65449139622895
595,118.46794648226667
597,117.29326701744401
614,117.44033434726957
615,117.88593100379688
623,117.29707169375892
624,118.72410097682135
629,123.94685996705314
630,122.71739136738262
634,124.9202174537088
638,126.40101527917172
644,131.94700512638002
645,136.73753507511623
650,135.38015972436506
652,139.8863581271214
659,144.8174945458502
661,143.37931960039168
668,143.11552640438777
676,142.3943711403439
677,142.68042742894048
685,142.28362315465108
693,141.33078692310457
695,140.67747905387353
711,140.50070426333477
722,142.14569722070144
724,141.04424024849442
726,141.9437978460095
727,142.80435986754938
729,141.9563162688739
730,143.32675310618515
732,141.90348557512328
733,140.49445071937205
734,139.76950621217833
739,138.38181115005654
745,138.54799303855597
765,140.3725131081704
773,139.45878797708872
776,138.22420009731783
777,141.01195809634467
779,141.94183851538122
781,140.5324201302274
783,140.1970959289251
789,138.93512496963584
805,137.55577371993948
806,136.3102159827401
808,136.0971138229127
811,135.45614268468356
819,137.55158125783674
820,140.6260654452584
829,139.39980479080583
833,140.97580674289776
841,140.0560486754688
844,138.66548818871408
858,139.46883330682692
863,138.56414497375866
867,138.24850352402106
872,136.87601848878083
885,139.85725830389302
887,142.21868572085407
893,142.52649886364551
896,147.11123387500908
898,147.320121536259
902,145.8569203208964
903,146.01835111768744
909,147.05816760651058
931,145.59758593044546
933,144.811610071141
943,150.36349397042957
950,149.6698590307253
964,150.14316044041803
980,148.97172883601385
983,150.2020115476537
993,151.06999143217718
995,149.5692915178554
1000,148.08359860267683
1003,148.03276261665007
1005,147.97243499048355
1016,146.5027106405787
1023,146.11768353417293
1027,145.42650669883122
1029,144.3122416318429
1037,143.68911921552447
1038,144.81222802336922
1057,145.79410574313553
1061,148.23616468570418
1071,146.76380303884713
1072,145.96616500845863
1074,147.56650335837404
1078,148.1508383247903
1087,147.3393299415424
1099,145.87593664212696
1103,144.83717727570567
1105,145.4388055029486
1108,143.99441744791912
1110,143.53447327343991
1112,142.1091285407055
1122,143.56803725529846
1123,142.14235688274547
1126,142.40093331391802
1127,140.98692398077884
1130,141.55705474097104
1133,140.15148419356132
1135,140.3199693516257
1140,139.67676965810944
1147,139.44000196152834
1152,138.93560194191306
1153,138.64624592249393
1165,138.509783463269
1175,137.1346856286363
1177,136.64333877234995
1178,137.66690538462646
1185,137.4502363307802
1190,137.8257339674724
1194,136.45747662779766
1195,137.13290186151968
1207,136.68157284290447
1215,135.3247571144754
1219,135.71150954333066
1224,134.93439444789738
1226,134.68505050341838
1230,134.0581999983842
1245,136.18761799840036
1247,134.83574181841635
1252,134.89738440023217
1253,133.55841055622983
1255,132.6428264506675
1258,131.32639818616082
1262,130.1531342042992
1268,130.89160286225618
1272,132.00268683363362
1277,131.9026599652973
1283,131.0336333656443
1286,131.75329703198787
1291,130.88576406166797
1294,130.2269064210513
1299,128.93463735684077
1303,129.01529098327237
1307,127.73513807343964
1316,129.48778669270524
1323,130.2729088257782
1326,130.8601797375204
1327,130.0715779401452
1336,130.82086216074376
1346,130.36265353913632
1355,131.51902700374495
1361,130.6638367337075
1365,129.72719836637043
1376,128.43992638270672
1377,127.78552711887964
1381,127.09767184769085
1387,128.07669512921393
1391,127.50592817792179
1394,127.87086889614257
1418,128.21216020718114
1437,126.94003860510934
1439,125.68063821905825
1440,126.05383183686766
1441,125.30329351849899
1450,124.900260583314
1458,125.74125797748086
1459,124.95384539770605
1461,125.55430694372899
1462,126.0087638742917
1475,125.92867623554879
1477,124.67938947319331
1488,123.44259557846138
1491,124.20816962267676
1495,122.97608792645
1499,123.2163270471855
1503,121.99416377671365
1510,121.94422213894651
1511,121.50477991755704
1514,122.46973211838149
1517,122.00503479719768
1529,120.79498444922571
1535,119.59703460473345
1538,119.52106425868612
1539,119.65585361609926
1549,120.71929507993828
1552,122.8421021291389
1563,122.60368110784749
1566,124.19764429676903
1569,122.96566785380134
1574,122.91601117526332
1577,123.07685106351069
1586,126.4160825528756
1597,126.46192172734683
1602,125.59730251007338
1604,124.35132948497265
1628,124.83781619012292
1636,123.5994380282217
1638,124.99344364793947
1641,126.07350921146008
1647,126.72277411934547
1648,126.92554637815202
1655,128.3062909143705
1663,128.1532280052268
1667,128.04169572517452
1671,127.83127876792278
1675,129.25296598024354
1678,127.97043632044111
1680,128.92073195723668
1686,128.19152463766432
1695,128.30960939128767
1703,127.0365132973748
1705,125.99614816440105
1708,125.62618668275704
1710,124.37992481592947
1711,123.54612556777018
1712,122.82066431209248
1719,123.39245766897155
1723,123.51853309228183
1724,122.29334776135902
1731,121.08041428374543
1739,122.64961014090797
1740,124.49311403949889
1744,123.8881828991039
1746,125.76930107011286
1755,124.97160805941172
1766,124.62189197881762
1776,123.95567305902944
1778,124.63611632843914
1785,124.64975516515476
1786,124.86325761350322
1790,124.69462503736818
1793,123.4576787869945
1801,122.23310199912457
1820,121.86077097913332
1824,123.402163269342
1831,123.68814163664857
1837,122.46126022028209
1839,122.65664761807926
1848,123.58008114189848
1852,123.36428033047949
1861,122.1406375271747
1866,123.03923115190295
1867,124.44883884038393
1868,123.2143504519801
1884,121.9922069474603
1889,121.3522848779857
1896,120.14876202920584
1900,120.83727440891379
1903,119.63890166482466
1909,120.1625126481764
1910,120.00088752169465
1914,118.8108786464777
1919,119.49276986001293
1925,120.2678421614128
1926,121.14516373979868
1936,121.93371210240069
1937,120.72437498137668
1941,121.50713123156291
1942,120.30205991924728
1946,121.32903932005482
1948,123.31574892685427
1954,124.87259143758573
1957,124.40386552320987
1961,123.51982686797777
1962,124.02462859929798
1964,122.79438231330501
1965,122.36643849017196
1967,123.42277410527024
1978,124.41854636421753
1980,123.23436090057535
1988,123.3020172915696
1989,122.0789971186539
1992,120.86820714746737
2027,122.4695250759927
2037,124.86482982523279
2048,125.55618152698045
2055,125.62061971171066
2056,126.33441351459355
2068,126.2310693794476
2071,124.97875868565313
2080,124.6189710987966
2090,124.31278138780864
2098,123.52965357393055
2101,122.30435703819124
2104,122.67131346780933
2110,121.45460033313124
2115,123.40005432979993
2116,122.17605378650194
2120,123.98429324863692
2121,123.86445031615055
2128,123.60580581298905
2137,125.20974775485917
2140,126.77765027731058
2160,125.51987377453749
2170,126.58467503679212
2188,126.72882828642419
2195,127.42154000355995
2202,128.52732460352436
2210,128.18205135748912
2212,129.58023084391422
2216,129.7844285354751
2222,128.66658425012034
2226,129.72991840761912
2237,131.88261922354292
2240,133.5537930313075
2245,132.2282551009944
2258,132.05597254998446
2282,132.75541282448464
