Wall time,Step,Value
1749195060.5056205,5,0.0
1749195062.077424,9,0.0
1749195062.1545134,10,0.0
1749195062.2219307,11,0.0
1749195085.345594,25,39.0
1749195087.8754098,27,1.0
1749195094.71385,30,1.0
1749195098.3151553,31,127.0
1749195101.2494829,32,51.0
1749195156.316697,37,155.0
1749195285.2205317,43,700.0
1749195294.532813,44,700.0
1749195343.9914362,49,1.0
1749195387.1121364,56,488.0
1749195463.578107,69,5.0
1749195467.8320184,70,188.0
1749195484.2432182,72,320.0
1749195487.8374448,73,222.0
1749195504.8965461,76,258.0
1749195508.3409092,77,281.0
1749195553.01515,87,73.0
1749195562.4961648,89,44.0
1749195577.9142003,90,346.0
1749195597.3494174,92,206.0
1749195603.5852547,93,306.0
1749195607.074599,94,84.0
1749195611.0232346,96,118.0
1749195619.9173477,97,42.0
1749195664.5364482,103,154.0
1749195687.293499,107,150.0
1749195692.1505206,108,163.0
1749195697.66021,109,10.0
1749195724.4450464,115,221.0
1749195727.8804293,117,1.0
1749195773.0042355,123,2.0
1749195774.7021878,124,234.0
1749195780.5989509,125,149.0
1749195803.167409,130,256.0
1749195840.8461964,136,106.0
1749195950.2202373,153,322.0
1749195985.414817,162,49.0
1749195986.2274563,163,1.0
1749195993.045206,164,197.0
1749196063.419646,177,121.0
1749196080.8379023,178,88.0
1749196123.157671,185,93.0
1749196159.5681922,192,73.0
1749196175.309727,198,134.0
1749196178.4428887,199,136.0
1749196193.1040049,202,125.0
1749196220.1344943,211,211.0
1749196321.633879,216,364.0
1749196345.5676637,222,1.0
1749196379.3203018,224,700.0
1749196389.7349875,225,4.0
1749196394.324505,227,248.0
1749196400.3916993,231,1.0
1749196446.047477,232,204.0
1749196448.3861575,233,171.0
1749196472.0172603,235,296.0
1749196521.2921677,239,700.0
1749196558.738917,244,635.0
1749196630.486871,248,292.0
1749196641.016697,251,350.0
1749196665.5948272,257,19.0
1749196761.5542357,260,700.0
1749196823.9936297,263,1.0
1749197001.5845127,278,600.0
1749197016.5775247,280,324.0
1749197098.022947,288,121.0
1749197108.1830375,289,700.0
1749197143.655032,292,326.0
1749197216.0681674,304,90.0
1749197217.0489702,305,51.0
1749197220.2686298,306,277.0
1749197242.6410327,308,128.0
1749197244.160446,309,700.0
1749197333.5184572,319,448.0
1749197350.2264025,320,407.0
1749197355.0741181,321,347.0
1749197414.0094454,329,200.0
1749197432.2281408,332,700.0
1749197446.3637693,335,282.0
1749197536.880601,349,224.0
1749197558.554524,351,71.0
1749197561.4663975,352,218.0
1749197564.0186799,353,685.0
1749197572.8537157,354,1.0
1749197579.8117614,355,362.0
1749197595.362032,358,80.0
1749197610.1387262,360,108.0
1749197655.034887,365,239.0
1749197680.966606,368,108.0
1749197690.119883,370,308.0
1749197696.0845158,374,87.0
1749197716.663481,375,114.0
1749197722.5353758,376,106.0
1749197763.7350864,380,651.0
1749197785.2901375,383,353.0
1749197809.6370947,387,67.0
1749197876.3086624,395,97.0
1749197899.5671127,402,435.0
1749197910.4705415,404,1.0
