Step,Value
25,-40.24948120117188
35,-40.248625961303716
36,-40.34366790995789
39,-40.342453068337385
40,-40.30513797033232
47,-40.317186961481134
48,-40.49010308400734
61,-40.488819610997986
68,-40.48117662704903
69,-40.479548458190834
70,-40.4560688811146
83,-40.49115584033429
84,-40.49222981620318
87,-40.36956863330226
88,-40.36259176333985
91,-40.437703077100124
92,-40.452856551120774
98,-40.45360121099012
103,-40.5712378362512
110,-40.60402120449904
120,-40.48137024702496
124,-40.48394274929048
128,-40.670722518942995
142,-40.66815745297918
146,-40.66651330929456
147,-40.69537342665427
149,-40.69278708512187
151,-40.570279933148186
157,-40.567535794856305
165,-40.557803383241996
167,-40.55814646784325
168,-40.55604393929788
171,-40.556062472061285
178,-40.432870269039654
181,-40.43274781332287
183,-40.431332588376556
185,-40.30911630007765
193,-40.407101014776046
198,-40.36552533779983
205,-40.36424368793389
206,-40.3268606946478
212,-40.3273313607328
213,-40.28004784153463
224,-40.40693731226784
226,-40.41529083352196
234,-40.39997420983121
236,-40.27878968067446
245,-40.28234220094518
250,-40.28276465600128
265,-40.283401152835275
266,-40.279666260045715
279,-40.28179890280611
280,-40.44470946465482
292,-40.44330875453478
295,-40.455747901757505
303,-40.5193765191057
306,-40.50723118556889
309,-40.507845691963354
311,-40.50873880375221
316,-40.50820462988246
318,-40.49648347897499
319,-40.44892900702317
329,-40.39182376663296
333,-40.39069462101666
337,-40.37114035026396
339,-40.33805079777395
340,-40.21623947086729
343,-40.215903416486675
366,-40.21547189657535
367,-40.1691349443866
379,-40.16827454654196
385,-40.28370819183544
386,-40.25538094154277
387,-40.25398049848621
399,-40.25381960069192
407,-40.42912075633076
411,-40.39544177914782
413,-40.4995308215472
418,-40.43965551056144
423,-40.48084045027976
425,-40.51163543198068
436,-40.39097949004927
442,-40.37761137259353
443,-40.37770765682291
457,-40.37555007019888
458,-40.36269391254199
460,-40.36250801433708
467,-40.34776079943713
473,-40.310347586771485
477,-40.27136806874567
482,-40.15172251574602
486,-40.1515735463189
489,-40.15173282409303
491,-40.15145954090396
495,-40.25582532982275
496,-40.64578491987332
501,-40.607380743443166
502,-40.60951832563911
508,-40.60713044067562
531,-40.60530333875178
533,-40.603754179071224
534,-40.480858644089764
535,-40.59403423222
538,-40.59220514008241
540,-40.61846292178741
554,-40.49575498787988
555,-40.49479852278196
557,-40.49852639604296
559,-40.50414665013731
561,-40.50220007856458
565,-40.50139527581424
567,-40.50031945378685
571,-40.499359549197465
573,-40.49774098715144
577,-40.376642575835135
583,-40.38023508691988
585,-40.42555993494282
589,-40.42296885541875
605,-40.41876450497432
606,-40.40729847940373
609,-40.39533375178168
611,-40.39462564435568
615,-40.38199280044263
617,-40.3808059437454
634,-40.2589812890192
635,-40.137389314815756
643,-40.1383373801782
644,-40.23107375048396
649,-40.22339512426424
650,-40.10272101621071
654,-39.98147925005414
658,-40.01985679564138
664,-40.01979383780329
665,-39.89971464088545
670,-39.89857562422109
672,-39.777996700905106
679,-39.65864584732404
681,-39.70072562343563
688,-39.580210291575845
696,-39.586246676387155
697,-39.57773589930965
705,-39.57904336391397
713,-39.582480920254106
715,-39.690109309097345
731,-39.569559866548175
742,-39.57036222668242
744,-39.57126485612786
746,-39.57260704605655
747,-39.574707031162276
749,-39.45548532824413
750,-39.45658579501941
752,-39.892140796545476
753,-39.89462307319148
754,-39.77514423008441
759,-39.77677382974279
765,-39.65675182466315
785,-39.73683733243379
793,-39.736913338533405
796,-39.73858389658299
797,-39.739992339992114
799,-39.74180783584201
801,-39.72337219962696
803,-39.72416129628491
809,-39.72636276716901
825,-39.68205089307038
826,-39.56307021445992
828,-39.56269643350404
831,-39.619113809138824
839,-39.62327703274437
840,-39.62403275096254
849,-39.61826063211029
853,-39.61867175750156
861,-39.63173683521612
864,-39.63237839076272
866,-39.51305013228904
878,-39.39364512083393
883,-39.3584855039071
887,-39.36019408593908
892,-39.36026892207725
905,-39.3625235301975
907,-39.32009408071592
913,-39.201839343489404
916,-39.08429301016664
918,-39.08825106482144
922,-39.249508291912626
923,-39.24064175174758
929,-39.28530121229556
951,-39.289420387241435
953,-39.288420633464966
963,-39.34482308320397
970,-39.22692825957926
984,-39.264100582252915
1000,-39.1462944781198
1003,-39.02854026927626
1013,-39.12097781893963
1015,-39.00261299360158
1020,-38.88556965913001
1023,-38.88923892366337
1025,-38.77226786179329
1036,-38.79627267533438
1043,-38.68007445606445
1047,-38.56301207413312
1049,-38.56711544208552
1057,-38.462362209200734
1058,-38.34557738831854
1077,-38.3516514082593
1081,-38.35655183352061
1091,-38.240620288419294
1092,-38.20453774602022
1094,-38.20910234399432
1098,-38.094606927315155
1107,-38.08401447463624
1119,-37.96976321105858
1123,-37.975187703621444
1125,-37.98306048798373
1128,-37.869163458078695
1130,-37.755182151877385
1132,-37.64170978596196
1142,-37.657964649279855
1143,-37.544668058743085
1146,-37.524368082810874
1147,-37.51714275306806
1150,-37.52529554844167
1153,-37.48025463494088
1155,-37.36784965816118
1160,-37.427535122095634
1167,-37.42531013010215
1172,-37.31324291573928
1173,-37.31600746784534
1185,-37.349545609534815
1195,-37.356906846668615
1197,-37.36159900454658
1198,-37.40665370719724
1205,-37.29456285170319
1210,-37.30403128259388
1214,-37.19191815908033
1215,-37.17335563969525
1227,-37.06132469555435
1235,-37.07590773120279
1239,-36.964871045373485
1244,-36.974542308244445
1246,-36.99851998747206
1250,-36.99516013917956
1265,-37.00533432291607
1267,-36.89432913414329
1272,-36.783868013616754
1273,-36.79276218670603
1275,-36.80594826553287
1278,-36.694918363259035
1282,-36.58519800828039
1288,-36.5949590959267
1292,-36.48534983102151
1297,-36.49609602151868
1303,-36.38672946830424
1306,-36.27731236430767
1311,-36.20197519821847
1314,-36.21412673417167
1319,-36.10507130240863
1323,-35.996056191227034
1327,-35.98703778736282
1336,-35.87925524934139
1343,-35.77171423798039
1346,-35.664015512018786
1347,-35.638462363569275
1356,-35.61238800087737
1366,-35.50566881213952
1375,-35.52044201261228
1381,-35.54772272759007
1385,-35.613853759846755
1396,-35.62763403618318
1397,-35.639654126323165
1401,-35.53251134006155
1407,-35.42549431266416
1411,-35.31936244554026
1414,-35.30329798537038
1438,-35.19651372918397
1457,-35.2027909749532
1459,-35.21803487787673
1460,-35.28221189659516
1461,-35.17653215749447
1470,-35.19163761656397
1478,-35.08574748711339
1479,-35.10064084890009
1481,-35.21762548641198
1482,-35.23178496117955
1495,-35.208794604312374
1497,-35.2233799018654
1508,-35.11788239127777
1511,-35.132207222344896
1515,-35.02681810279482
1519,-34.92120857752794
1523,-34.81652779512326
1530,-34.713589323235766
1531,-34.71232082394281
1534,-34.60830551318379
1537,-34.62497608004267
1549,-34.521324427441655
1555,-34.64639228246743
1558,-34.64589862029898
1559,-34.54156386349245
1569,-34.43789776402067
1572,-34.334693443165605
1583,-34.37836067707561
1586,-34.55800516657759
1589,-34.57466029460202
1594,-34.46992045423354
1597,-34.4984467089536
1606,-34.39516473343532
1617,-34.292104966720885
1622,-34.309806647121015
1624,-34.32810371338571
1648,-34.224238374904665
1656,-34.24043705489104
1658,-34.25792306489336
1661,-34.15536093942432
1667,-34.174965150032556
1668,-34.19144350851923
1675,-34.08910992379887
1683,-33.98715580379959
1687,-33.88472856019803
1691,-33.90121380551719
1695,-33.79863389142226
1698,-33.75870742257881
1700,-33.77835301890849
1706,-33.79658099009469
1715,-33.81524582399818
1723,-33.71276166662386
1725,-33.61179046525247
1728,-33.51118905572947
1730,-34.121394334387475
1731,-34.01901327549516
1732,-33.91693828548357
1739,-33.814691074025916
1743,-33.71576858644713
1744,-33.735163284319384
1751,-33.81965476635973
1759,-33.71837416793197
1760,-33.718476838854684
1764,-33.7335722780891
1766,-33.632458359550206
1775,-33.53177788510334
1786,-33.43032048222867
1796,-33.44417940405225
1798,-33.46178565902247
1805,-33.471567950360836
1806,-33.370215881246054
1810,-33.27900931709269
1813,-33.17860814588605
1821,-33.078283224586315
1840,-33.100328568241416
1844,-33.00030282529747
1851,-33.020658392651654
1857,-33.04434887032404
1859,-33.05296610218597
1868,-33.073613947501244
1872,-33.09366507831499
1881,-33.11639597730613
1886,-33.13083834668622
1887,-33.11087200580998
1888,-33.00967948937761
1904,-33.06815531464849
1909,-32.96911455834877
1916,-32.87052895599392
1920,-32.77060374125705
1923,-32.763152199579785
1929,-32.664852343214314
1930,-32.56712351931495
1934,-32.469647418193844
1939,-32.372433335362004
1945,-32.275617324586506
1946,-32.2002686911682
1956,-32.249013584405
1957,-32.15057611074563
1961,-32.05415855183121
1962,-32.1408275733681
1966,-32.11085138161784
1968,-32.07821046260483
1974,-32.10468275947019
1977,-32.00843748850151
1981,-31.9126026999808
1982,-31.936577668064935
1984,-31.9216346228354
1985,-31.96427576678794
1987,-31.958817912250638
1998,-31.982398138811735
2000,-31.88664063958221
2008,-31.912442196850478
2009,-31.97375320628898
2012,-31.998177478133737
2047,-32.021668945760375
2057,-32.04521770082495
2068,-32.07018009688629
2075,-32.10580513932879
2076,-32.12902938803434
2088,-32.142071335057004
2091,-32.04434602342443
2100,-31.948542766886444
2110,-31.972654726781588
2118,-31.9973127208532
2121,-31.90142373169526
2124,-31.805823876304324
2130,-31.8331555845155
2135,-31.857661668146473
2136,-31.76288742236671
2140,-31.66630838456889
2141,-31.571635379684075
2148,-31.4771885473944
2157,-31.503184887788596
2160,-31.514843225581284
2170,-31.420506307219494
2180,-31.326383766622666
2190,-31.232449070517642
2208,-31.260743762032895
2215,-31.1665337450969
2222,-31.072248928245383
2230,-31.099426830966262
2232,-31.010930689874797
2236,-31.234959734047848
2242,-31.141130198891165
2246,-31.361407560552795
2257,-31.388398567515914
2260,-31.29279163341648
2265,-31.19870404929761
2278,-31.10539319647105
2302,-31.010918351314
2321,-30.91694353453778
2326,-30.943250946732018
2327,-30.850626134687722
2337,-30.75801700103978
2340,-30.854001063897744
2345,-30.915195835608394
2353,-30.822577395571237
2356,-30.730255525744077
2363,-30.63902594003261
2373,-30.547164464712726
2380,-30.616984469579084
2394,-30.524952276200317
2410,-30.55439716805946
2414,-30.4628014151242
2415,-30.49148467378166
2418,-30.399989150663448
2419,-30.3089761865334
2449,-30.218241990941237
2452,-30.251022277785797
2456,-30.323144306319872
2457,-30.354482654620394
2462,-30.264103688068705
2463,-30.224116489843244
2475,-30.254477301537044
2483,-30.1633178596657
2485,-30.089049774601715
2486,-30.124749345858966
2506,-30.034014306667185
2514,-29.94402433149132
2519,-29.854372768593098
2521,-29.764965221025335
2524,-29.675176264652187
2526,-29.586165402037423
2527,-29.497487087212047
2538,-29.5286546563154
2539,-29.44017851558456
2540,-29.35196857355046
2542,-29.38335839613181
2544,-29.295415096526742
2549,-29.20776374517755
2551,-29.120305983867393
2559,-29.033271633379368
2586,-29.064673523648906
2587,-28.985360240144228
2598,-28.89847752808304
2599,-28.930818914956795
2606,-28.844348666057673
2609,-28.757958082540313
2610,-28.735018844980925
2613,-28.769505057366878
2620,-28.683127349243232
2627,-28.59722355539977
2640,-28.640928100553882
2648,-28.555342587495556
2649,-28.469325538033463
2656,-28.384078302796986
2659,-28.298928542602198
2660,-28.29909886703604
2661,-28.238626011772517
2664,-28.154324453356736
2683,-28.07019857779048
2691,-27.986273244664147
2692,-28.038522062717018
2695,-27.9545067065734
2702,-27.990491437796454
2705,-28.004435155133454
2707,-27.92059952620047
2710,-27.8370475029207
2714,-27.753482904243317
2723,-27.670303321450177
2729,-27.58728317967793
2733,-27.50353605329082
2734,-27.421356564996128
2738,-27.526319897034536
2739,-27.443540809369278
2740,-27.481205792409924
2750,-27.39907607335021
2751,-27.316847581396875
2755,-27.247405090524936
2760,-27.165305989060204
2761,-27.084018482108593
2762,-27.171164143184487
2765,-27.08963080861083
2774,-27.00870269258378
2775,-27.03202016284465
2776,-26.95018444450704
2781,-26.99090765978924
2786,-26.910029268290433
2789,-26.828983967818576
2792,-26.87805421730062
2794,-26.797539627593657
2796,-26.715492255264298
2799,-26.635451910748785
2806,-26.555523648387336
2818,-26.47609698635346
2820,-26.396849460043462
2833,-26.31672478016023
2834,-26.348114567825363
2845,-26.269217434649097
2855,-26.190354639458214
2859,-26.11197647665943
2865,-26.032740066184203
2872,-25.954855090945365
2873,-25.87707476126248
2878,-25.799785966288777
2882,-25.72248085678905
2883,-25.64532404486494
2887,-25.687667449713985
2902,-25.610712329700625
2903,-25.533974125235847
2912,-25.457629664638958
2914,-25.381284744753938
2916,-25.305257748420892
2924,-25.298276898347627
2932,-25.222599048258903
2935,-25.147178435003276
2936,-25.19267676862527
2939,-25.117240532058442
2941,-25.087888245887072
2942,-25.012634199667584
2945,-24.938467888755785
2951,-24.863758153239406
2955,-24.909647118647854
2956,-24.835098123587827
2970,-24.834298925866232
2973,-24.88746581363453
2976,-24.813200923950575
2983,-24.7390322111017
2986,-24.66464846278733
2988,-24.590900793047442
2994,-24.51781490260718
2999,-24.444495846288053
3005,-24.371202792765104
3007,-24.29779392733254
3014,-24.224979397444084
3017,-24.15249410969048
3020,-24.2014038301202
3023,-24.12894923274043
3031,-24.056866590124564
3040,-23.984844604894885
3045,-24.03327991406726
3050,-23.976862891784165
3055,-23.904963769038744
3068,-23.832142606166666
3070,-23.880796107394797
3087,-23.809490942058535
3090,-23.737637175354635
3095,-23.66612260094392
3104,-23.595252344820192
3105,-23.62010409045602
3111,-23.548820590645672
3117,-23.599325038297565
3124,-23.645313070110163
3125,-23.695623289499686
3126,-23.74475170588607
3128,-23.673814407694994
3132,-23.60276153045747
3135,-23.64851953767518
3136,-23.70297998492153
3140,-23.74879618916232
3141,-23.67786148662635
3142,-23.605752427993643
3147,-23.53516744757401
3149,-23.464736577534705
3159,-23.39450957497983
3166,-23.324547051627594
3176,-23.254492462667518
3194,-23.183873225599246
3199,-23.113149183125962
3208,-23.044295234809592
3211,-22.975558542624395
3213,-22.941698855941528
3220,-22.8728341013013
3224,-22.80444572638415
3225,-22.854587584059733
3233,-22.786303234731985
3237,-22.7179083513718
3238,-22.649972453943256
3241,-22.69935399181214
3243,-22.754671705135774
3250,-22.80773295018272
3258,-22.858811040699848
3262,-22.9168345640902
3264,-22.848227284044956
3270,-22.900599628712598
3286,-22.832115563440606
3289,-22.762916298503896
3295,-22.69514201973859
3301,-22.627290229149644
3315,-22.678854258425574
3319,-22.610965246885108
3327,-22.5432837856703
3335,-22.47588635027253
