Step,Value
25,-40.10742950439453
29,-40.10875317382813
30,-40.1095687944336
31,-40.16870802015577
39,-39.928260201794814
47,-39.68544788743596
50,-39.44759564915575
51,-39.480487994267165
52,-39.35855834770415
56,-39.12213577628567
63,-38.88794668974113
64,-38.65495373831304
67,-38.42100096724387
71,-38.190639741487196
89,-37.961576017889044
90,-37.734433478249855
91,-37.50815731936265
93,-37.29163708557335
94,-37.06803211123153
97,-36.84569333851439
106,-36.62506941547435
108,-36.40563688719669
110,-36.18749483214451
111,-35.970699327222135
113,-35.75506557717367
114,-35.7874220779367
116,-35.812724049985675
118,-35.59801354897138
119,-35.38452250367417
127,-35.17236161721625
130,-34.96178589032015
131,-34.75240927507804
137,-34.54421588988259
138,-34.33712915061675
139,-34.13062612359613
145,-33.92608774923802
147,-33.722858481612604
148,-33.520930849143625
154,-33.32009921430845
178,-33.120424173179195
185,-32.92186741222715
187,-32.72460049499459
189,-32.528293823347234
200,-32.609458182111254
202,-32.96518958609476
204,-32.98182303201325
215,-33.03211466523231
219,-33.07285264130341
222,-33.11433118249904
225,-32.913179081061834
227,-32.95598047837722
235,-32.984644780138304
240,-32.789158090930876
246,-32.83331610198002
248,-32.63599237094144
250,-32.72193483193796
252,-32.75846297941606
257,-32.55973399336724
258,-32.56465438274199
259,-32.64040775283225
261,-32.6029978624676
263,-32.406033525010365
269,-32.21162300154407
274,-32.273629340805314
281,-32.080164059701595
282,-31.88775226927282
287,-31.696099468037414
288,-31.50617037213309
298,-31.31712002424865
306,-31.129703909926196
313,-31.19599383221859
317,-31.00882899353769
319,-30.82284429824119
330,-30.97232034890682
331,-30.783670830650106
332,-30.60207232927823
333,-30.697834849526195
335,-30.513862469520358
344,-30.331055951979092
345,-30.39133300585462
348,-30.209227168936987
352,-30.02837159413912
355,-29.84885520693407
363,-29.670158752277544
373,-29.49199538701569
376,-29.314907729998502
377,-29.47874299217564
381,-29.302313119005426
382,-29.56389471758632
383,-29.390603447516884
384,-29.214730517141785
385,-29.03970933646096
387,-28.86558607500163
395,-28.69256079856981
397,-28.52037492840339
399,-28.349687696165404
402,-28.18037754166381
403,-28.01143352979344
406,-27.843347879032937
411,-27.67691164724525
413,-27.74856774480563
423,-27.581832007155747
428,-27.416760359806236
430,-27.25248738833497
435,-27.089187434496786
438,-26.92684942006589
439,-27.093597275877038
451,-26.93109652836557
462,-26.768359336334456
466,-26.60779860913706
467,-26.4483895252834
470,-26.290268728036295
471,-26.13265295091169
472,-25.97633560398042
478,-25.82109883144922
482,-25.66629599872489
487,-25.512659101885557
493,-25.395869655834424
502,-25.24379838575793
507,-25.09278838710441
509,-24.94235173632895
520,-24.792862126851567
522,-24.831491680469853
523,-24.682621292250932
524,-24.534715519478635
526,-24.387508049522978
529,-24.241402896141658
531,-24.096277201102946
539,-23.951930347301776
545,-23.80845029372365
550,-23.665712487256332
