Step,Value
25,39.0
27,38.62
30,38.24379999999999
31,39.131361999999996
32,39.250048379999996
37,40.4075478962
43,47.00347241723801
44,53.533437693065636
49,53.00810331613498
56,57.35802228297363
69,56.834442060143886
70,58.14609763954245
72,60.76463666314702
73,62.37699029651555
76,64.33322039355039
77,66.4998881896149
87,66.56488930771874
89,66.33924041464155
90,69.13584801049514
92,70.50448953039019
93,72.85944463508629
94,72.97085018873543
96,73.42114168684807
97,73.1069302699796
103,73.91586096727981
107,74.67670235760701
108,75.55993533403094
109,74.90433598069062
115,76.36529262088372
117,75.61163969467489
123,74.87552329772814
124,76.46676806475085
125,77.19210038410334
130,78.98017938026231
136,79.25037758645969
153,81.67787381059509
162,81.35109507248913
163,80.54758412176425
164,81.7121082805466
177,82.10498719774114
178,82.16393732576373
185,82.2722979525061
192,82.17957497298103
198,82.69777922325122
199,83.2308014310187
202,83.64849341670852
211,84.92200848254143
216,87.71278839771601
222,86.84566051373885
224,92.97720390860145
225,92.08743186951544
227,93.64655755082029
231,92.72009197531209
232,93.83289105555897
233,94.60456214500338
235,96.61851652355335
239,102.65233135831782
244,107.97580804473465
248,109.8160499642873
251,112.21788946464443
257,111.28571056999799
260,117.172853464298
263,116.01112492965503
278,120.85101368035848
280,122.8825035435549
288,122.86367850811936
289,128.63504172303817
292,130.60869130580778
304,130.20260439274972
305,129.4105783488222
306,130.886472565334
308,130.85760783968067
309,136.54903176128386
319,139.66354144367102
320,142.3369060292343
321,144.38353696894197
329,144.93970159925254
332,150.49030458326
335,151.8054015374274
349,152.52734752205313
351,151.7120740468326
352,152.3749533063643
353,157.70120377330065
354,156.13419173556764
355,158.19284981821195
358,157.41092132002984
360,156.91681210682955
365,157.73764398576128
368,157.2402675459037
370,158.74786487044466
374,158.0303862217402
375,157.59008235952282
376,157.0741815359276
380,162.01343972056836
383,163.92330532336268
387,162.95407227012905
395,162.29453154742777
402,165.02158623195348
404,163.38137036963394
405,167.3575566659376
417,165.69398109927823
420,164.62704128828545
423,166.07077087540262
438,165.6100631666486
439,164.8039625349821
441,164.2259229096323
442,164.14366368053598
446,163.4422270437306
449,163.6678047732933
454,162.04112672556036
455,162.00071545830477
461,162.4507083037217
467,162.13620122068448
481,160.52483920847763
485,159.57959081639285
491,159.82379490822893
494,161.14555695914666
498,159.54410138955518
502,159.6186603756596
504,158.972473771903
507,158.67274903418397
508,158.24602154384212
516,157.73356132840368
518,158.65622571511963
523,157.66966345796843
524,157.28296682338873
526,155.72013715515484
527,154.27293578360332
536,154.5602064257673
538,154.72460436150962
549,153.9973583178945
557,153.25738473471557
560,153.10481088736842
562,153.20376277849473
563,152.3517251507098
568,150.9882078992027
571,150.24832582021068
572,150.26584256200857
573,150.1231841363885
576,150.27195229502462
577,149.41923277207437
582,148.7050404443536
586,147.49799003991006
590,147.18301013951097
595,146.13118003811584
600,145.50986823773468
601,146.07476955535734
606,146.20402185980376
610,145.57198164120572
613,144.85626182479368
617,144.29769920654576
625,143.9347222144803
635,143.3053749923355
640,142.63232124241213
646,142.935998029988
647,141.86663804968813
649,142.01797166919124
652,141.81779195249933
660,141.48961403297434
661,140.9847178926446
664,140.90487071371817
682,141.25582200658098
684,139.85326378651516
685,139.99473114865
689,139.5547838371635
695,139.12923599879187
700,138.98794363880396
704,138.1980642024159
707,137.34608356039175
714,136.46262272478785
727,137.61799649754
735,136.7018165325646
740,135.99479836723896
747,135.19485038356657
759,135.1429018797309
760,134.2914728609336
763,135.15855813232426
773,135.64697255100103
774,134.73050282549102
783,133.99319779723612
784,133.20326581926378
788,132.97123316107113
807,134.4015208294604
826,134.9075056211658
832,134.85843056495415
839,133.7298462593046
840,133.23254779671154
845,132.01022231874444
861,132.840120095557
862,132.40171889460146
863,131.97770170565545
879,131.40792468859888
887,130.81384544171289
890,130.38570698729575
891,130.0818499174228
893,128.79103141824856
899,128.01312110406607
900,128.1329898930254
902,127.90165999409516
906,126.6326433941542
907,125.62631696021266
915,124.86005379061054
916,124.82145325270444
919,124.2632387201774
930,123.82060633297561
932,124.65240026964587
935,124.2858762669494
937,123.4630175042799
940,123.95838732923711
944,124.07880345594474
946,123.8680154213853
952,123.88933526717145
956,123.47044191449974
961,123.64573749535474
963,123.51928012040119
964,122.68408731919719
