Step,Value
23,38.0
27,38.03
28,37.6597
41,38.483103
48,38.10827197
49,39.177189250299996
50,39.315417357796996
55,39.44226318421903
63,39.05784055237684
64,38.67726214685307
67,38.300489525384535
68,37.927484630130685
71,38.27820978382938
72,38.87542768599109
78,39.23667340913118
83,39.84430667503987
90,39.45586360828947
100,39.50130497220657
104,40.79629192248451
107,40.93832900325966
108,42.45894571322707
122,42.044356256094794
126,42.703912693533844
127,42.2868735665985
129,41.87400483093251
131,42.24526478262319
137,42.142812134796955
145,42.90138401344898
147,44.082370173314494
148,44.00154647158135
151,43.571531006865534
158,44.62581569679688
161,44.189557539828904
163,43.75766196443061
165,46.71008534478631
172,46.252984491338445
173,45.80045464642506
178,45.352450099960805
185,45.9089255989612
186,48.35983634297159
187,47.886237979541875
192,48.36737559974646
193,48.613701843749
200,48.13756482531151
203,47.66618917705839
204,48.71952728528781
206,49.72233201243493
212,49.23510869231058
214,49.51275760538748
216,49.0276300293336
221,49.04735372904026
225,48.56688019174985
230,50.121211389832354
245,50.71999927593403
246,50.22279928317469
259,50.49057129034294
260,49.99566557743951
261,49.50570892166511
272,50.91065183244846
275,52.00154531412397
279,51.49152986098273
283,52.746614562372905
286,52.229148416749176
289,53.19685693258169
291,52.67488836325587
296,53.238139479623314
298,53.225758084827085
299,53.50350050397881
309,55.438465498939024
313,55.414080843949634
317,54.86994003551013
319,55.37124063515503
320,54.82752822880348
323,55.31925294651544
338,54.77606041705028
339,59.42829981287978
346,58.84401681475098
347,58.26557664660347
353,58.64292088013744
355,59.48649167133606
359,59.7216267546227
365,66.12441048707647
366,65.47316638220572
367,64.82843471838366
368,67.02015037119983
379,66.35994886748784
387,66.78634937881297
391,66.65848588502485
393,72.9919010261746
398,73.34198201591285
403,73.95856219575371
405,73.22897657379619
416,76.28668680805823
422,81.25381993997766
423,81.26128174057789
427,81.7986689231721
437,86.03068223394038
438,92.17037541160097
440,98.24867165748496
444,104.26618494091011
445,104.25352309150101
447,103.850987860586
451,107.30247798198015
453,113.22945320216034
457,112.10715867013874
462,116.54608708343736
466,116.13062621260298
469,121.96931995047694
471,127.74962675097217
475,126.48213048346246
476,126.98730917862783
481,125.77743608684155
482,131.51966172597315
488,135.1144651087134
490,140.76332045762626
495,139.36568725305
511,139.9920303805195
512,140.64211007671432
513,140.26568897594717
514,139.6530320861877
515,140.10650176532582
518,138.71543674767256
519,140.2082823801958
520,140.44619955639388
534,142.24173756082996
535,147.81932018522167
537,146.35112698336945
538,146.19761571353575
539,146.6356395564004
541,145.1792831608364
545,150.50749032922803
547,149.01241542593576
551,154.5222912716764
553,154.09706835895966
557,152.56609767537006
563,152.11043669861635
565,151.3193323316302
569,156.8061390083139
574,158.89807761823076
585,164.30909684204846
586,167.51600587362796
589,172.84084581489168
591,178.11243735674276
592,181.77131298317533
595,182.3135998533436
597,187.49046385481014
604,185.62555921626202
609,186.3993036240994
614,187.7353105878584
615,189.1479574819798
623,188.64647790716
624,186.7700131280884
627,184.91231299680751
629,183.07318986683944
630,181.25245796817103
634,186.43993338848932
638,189.24553405460443
644,194.3530787140584
645,193.39954792691782
650,198.46555244764863
652,202.14089692317214
656,200.1294879539404
659,205.128193074401
661,209.376911143657
668,207.29314203222043
671,212.2202106118982
676,213.40800850577924
677,212.34392842072143
681,210.2304891365142
685,215.12818424514904
693,219.36690240269758
695,224.1732333786706
711,223.7115010448839
716,228.47438603443507
722,226.1996421740907
724,223.94764575234979
726,221.71816929482628
727,225.45098760187804
729,223.20647772585926
730,227.97441294860067
732,229.52466881911468
733,234.22942213092352
734,231.89712790961428
739,233.92815663051815
745,238.58887506421297
765,236.21298631357084
766,234.62085645043513
773,232.28464788593075
776,233.57180140707146
777,231.24608339300073
779,229.89362255907074
781,227.60468633348
783,229.4386394701452
789,228.48425307544375
805,233.1994105446893
806,234.19741643924243
808,232.50544227485
811,236.5103878521015
819,237.5652839735805
820,235.1996311338447
829,238.62763482250625
833,241.75135847428118
834,242.71384488953836
836,240.31670644064297
837,244.91353937623654
841,249.46440398247418
844,250.22975994264942
846,254.72746234322292
852,255.5401877197907
858,259.9847858425928
861,264.3849379841669
863,262.4510886043252
867,259.83657771828194
871,264.2382119410991
872,262.14582982168815
885,263.28437152347124
887,260.6615278082365
893,259.2449125301541
896,258.0824634048526
898,262.5016387708041
902,266.87662238309605
903,266.7478561592651
909,271.08037759767245
911,275.3695738216957
919,272.62587808347877
929,275.249619302644
931,279.4971231096176
933,279.93215187852144
943,278.3928303597362
950,282.60890205613885
953,283.10281303557747
956,282.5917849052217
964,286.21586705616943
980,290.3537083856077
983,287.46017130175164
987,288.6555695887341
993,288.3190138928468
995,287.28582375391835
1000,285.9129655163792
1003,285.0438358612154
1004,286.45339750260325
1005,284.9188635275772
1007,289.0696748923014
1014,287.6789781433784
1016,286.0121883619446
1023,284.33206647832515
1027,284.19874581354185
1029,283.90675835540645
1037,288.06769077185237
1038,285.19701386413385
1047,285.8050437254925
1057,286.2769932882376
1061,285.9742233553552
1063,284.00448112180163
1071,281.1744363105836
1072,285.36269194747774
1074,283.33906502800295
1078,280.5156743777229
1087,277.7205176339457
1099,274.9533124576062
1103,277.3937793330301
1105,275.46984153969987
1108,274.92514312430285
1110,277.45589169305987
1112,279.7513327761293
1122,283.953819448368
1123,286.6842812538843
1126,287.07743844134546
1127,289.13666405693203
1130,287.39529741636267
1133,285.09134444219904
1135,286.28043099777705
1140,283.42762668779926
1147,281.94335042092126
1152,279.13391691671205
1153,276.3525777475449
1163,275.6690519700694
1165,275.38236145036876
1175,272.63853783586507
1177,269.9221524575064
1178,272.96293093293133
1183,270.243301623602
1185,271.57086860736604
1190,268.8651599212924
1194,266.8765083220795
1195,271.20774323885865
1207,275.01566580647005
1215,272.2755091484053
1219,276.5527540569213
1224,273.79722651635205
1226,273.6292542511885
1230,277.89296170867664
1245,282.1140320915899
1247,283.722891770674
1251,284.1556628529672
1252,287.84410622443755
1253,284.97566516219314
1255,282.9959085105712
1258,281.3959494254655
1261,280.74198993121087
1262,281.3045700318988
1268,282.7615243315798
1272,279.943909088264
1277,278.5544699973814
1279,275.77892529740757
1283,274.2111360444335
1286,278.4690246839892
1291,276.20433443714927
1294,274.5222910927778
1299,275.33706818185
1300,274.39369750003146
1303,274.19976052503114
1307,272.1477629197808
1316,270.926285290583
1323,275.21702243767714
1326,275.8248522133004
1327,273.0766036911674
1336,275.8658376542557
1346,273.98717927771315
1349,272.21730748493604
1355,269.50513441008667
1361,268.7600830659858
1365,266.70248223532593
1376,271.0354574129727
1377,275.32510283884295
1381,273.2518518104545
1387,275.22933329234996
1391,274.2570399594265
1394,278.5144695598322
1418,277.1193248642339
1422,278.4681316155915
1432,281.8534502994356
1437,279.0449157964413
1439,281.61446663847687
1440,279.6783219720921
1441,283.88153875237117
1442,282.78272336484747
1450,282.744896131199
1458,284.02744716988707
1459,282.21717269818816
1461,286.3950009712063
1462,283.5410509614942
1474,287.7056404518793
1475,291.8285840473605
1477,289.7102982068869
1488,288.173195224818
1491,285.30146327256983
1495,282.4584486398441
1499,283.6538641534456
1503,281.6773255119112
1510,280.4705522567921
1511,283.99584673422413
1512,282.2258882668819
1514,283.45362938421306
1517,281.91909309037095
1529,280.42990215946725
1535,278.0556031378726
1538,275.28504710649383
1539,274.5921966354289
1549,273.9362746690746
1552,272.67691192238385
1553,273.82014280316
1563,273.9519413751284
1566,272.5924219613771
1567,272.64649774176337
1569,270.9900327643457
1573,275.2801324367022
1574,272.5373311123352
